,Clean Channels,N. trials,M0,M1,M2,captured variance,N. trials w/o OL ,M0 w/o OL ,M1 w/o OL ,M2 w/o OL ,Random predictions
gamma1,45.0,648.0,216.0,216.0,216.0,0.947045563083515,623.0,205.0,208.0,210.0,61.0
gamma2,45.0,648.0,216.0,216.0,216.0,0.9656459924817291,625.0,195.0,215.0,215.0,59.0
beta1,45.0,648.0,216.0,216.0,216.0,0.914508862374757,631.0,202.0,214.0,215.0,61.0
beta2,45.0,648.0,216.0,216.0,216.0,0.9240030694379404,626.0,196.0,216.0,214.0,59.0
alpha1,45.0,648.0,216.0,216.0,216.0,0.9069043630304681,626.0,198.0,213.0,215.0,60.0
alpha2,45.0,648.0,216.0,216.0,216.0,0.8554701832228688,621.0,193.0,215.0,213.0,58.0
noFilter1,45.0,648.0,216.0,216.0,216.0,0.7255244124012433,620.0,198.0,210.0,212.0,0.0
noFilter2,45.0,648.0,216.0,216.0,216.0,0.5407932191107354,615.0,195.0,205.0,215.0,0.0
