,Clean Channels,N. trials,M0,M1,M2,captured variance,N. trials w/o OL ,M0 w/o OL ,M1 w/o OL ,M2 w/o OL ,Random predictions
gamma1,48.0,648.0,216.0,324.0,108.0,0.8989030280044765,636.0,216.0,313.0,107.0,0.0
gamma2,48.0,648.0,216.0,108.0,324.0,0.9121893098162553,644.0,215.0,107.0,322.0,0.0
beta1,48.0,648.0,216.0,324.0,108.0,0.9630816045804285,643.0,216.0,319.0,108.0,0.0
beta2,48.0,648.0,216.0,108.0,324.0,0.9571941240330868,646.0,215.0,108.0,323.0,0.0
alpha1,48.0,648.0,216.0,324.0,108.0,0.9866506197091387,645.0,216.0,321.0,108.0,0.0
alpha2,48.0,648.0,216.0,108.0,324.0,0.9645916912143304,645.0,214.0,108.0,323.0,63.2
noFilter1,48.0,648.0,216.0,324.0,108.0,0.9942442440895871,644.0,216.0,320.0,108.0,0.0
noFilter2,48.0,648.0,216.0,108.0,324.0,0.948481040596353,642.0,213.0,106.0,323.0,0.0
