,Clean Channels,N. trials,M0,M1,M2,N. trials w/o OL,M0 w/o OL,M1 w/o OL,M2 w/o OL,captured variance,N. trials w/o OL 2,M0 w/o OL 2,M1 w/o OL 2,M2 w/o OL 2
gamma1,50.0,648.0,216.0,216.0,216.0,551.0,184.0,172.0,195.0,0.822730667208235,534.0,173.0,168.0,193.0
gamma2,50.0,648.0,216.0,216.0,216.0,424.0,146.0,140.0,138.0,0.7955182215851105,408.0,145.0,135.0,128.0
betta1,50.0,648.0,216.0,216.0,216.0,627.0,204.0,214.0,209.0,0.8127006728505878,612.0,192.0,211.0,209.0
betta2,50.0,648.0,216.0,216.0,216.0,437.0,147.0,146.0,144.0,0.574856435335358,421.0,140.0,144.0,137.0
alpha1,50.0,648.0,216.0,216.0,216.0,627.0,202.0,216.0,209.0,0.832430794931042,614.0,192.0,213.0,209.0
alpha2,50.0,648.0,216.0,216.0,216.0,479.0,161.0,158.0,160.0,0.44834245556183316,459.0,155.0,153.0,151.0
noFilter1,50.0,648.0,216.0,216.0,216.0,634.0,207.0,214.0,213.0,0.8771777477107139,610.0,192.0,210.0,208.0
noFilter2,50.0,648.0,216.0,216.0,216.0,538.0,186.0,179.0,173.0,0.4839230019467004,508.0,177.0,178.0,153.0
