,Clean Channels,N. trials,M0,M1,M2,N. trials w/o OL,M0 w/o OL,M1 w/o OL,M2 w/o OL,captured variance,N. trials w/o OL 2,M0 w/o OL 2,M1 w/o OL 2,M2 w/o OL 2
gamma1,50.0,648.0,216.0,216.0,216.0,572.0,191.0,186.0,195.0,0.8344480027382588,561.0,184.0,182.0,195.0
gamma2,50.0,648.0,216.0,216.0,216.0,447.0,143.0,150.0,154.0,0.7533516106206408,434.0,142.0,147.0,145.0
betta1,50.0,648.0,216.0,216.0,216.0,623.0,202.0,212.0,209.0,0.7980853265101754,606.0,190.0,208.0,208.0
betta2,50.0,648.0,216.0,216.0,216.0,506.0,165.0,166.0,175.0,0.5200226000292125,488.0,156.0,159.0,173.0
alpha1,50.0,648.0,216.0,216.0,216.0,625.0,201.0,215.0,209.0,0.7914916495928765,610.0,191.0,211.0,208.0
alpha2,50.0,648.0,216.0,216.0,216.0,559.0,187.0,194.0,178.0,0.40421886220046643,531.0,183.0,188.0,160.0
noFilter1,50.0,648.0,216.0,216.0,216.0,625.0,202.0,211.0,212.0,0.7135203110018821,602.0,190.0,206.0,206.0
noFilter2,50.0,648.0,216.0,216.0,216.0,548.0,189.0,184.0,175.0,0.3322490260741603,519.0,177.0,178.0,164.0
