,M0 dimension 0,M1 dimension 0,M2 dimension 0,M0 dimension 1,M1 dimension 1,M1 dimension 2
alpha Motivational state 0,0.0,0.1464680151648755,0.20112348897508858,0.0,0.057771696001878925,0.05234315195758399
alpha Motivational state 1,0.1464680151648755,0.0,0.3151032542832317,0.057771696001878925,0.0,0.0479642751931727
alpha Motivational state 2,0.20112348897508858,0.3151032542832317,0.0,0.05234315195758399,0.0479642751931727,0.0
betta Motivational state 0,0.0,0.17098508948085178,0.1456967395218527,0.0,0.07650726499403349,0.04037396887407518
betta Motivational state 1,0.17098508948085178,0.0,0.26486140735425767,0.07650726499403349,0.0,0.07650726499403349
betta Motivational state 2,0.1456967395218527,0.26486140735425767,0.0,0.04037396887407518,0.07650726499403349,0.0
gamma Motivational state 0,0.0,0.33123438732860944,0.32082028410790775,0.0,0.09424787829402237,0.12300577627170917
gamma Motivational state 1,0.33123438732860944,0.0,0.6270765434901895,0.09424787829402237,0.0,0.12300577627170917
gamma Motivational state 2,0.32082028410790775,0.6270765434901895,0.0,0.12300577627170917,0.12300577627170917,0.0
no_filter Motivational state 0,0.0,1.6457026469396694,0.5439457099597851,0.0,0.22646262270502016,0.26216077732040377
no_filter Motivational state 1,1.6457026469396694,0.0,1.2908083798149748,0.22646262270502016,0.0,0.26216077732040377
no_filter Motivational state 2,0.5439457099597851,1.2908083798149748,0.0,0.26216077732040377,0.26216077732040377,0.0
