,Avg. life dim0,Avg. life dim1,std lifedim0,std life dim1,persistent entropy dim0,persistent entropy dim1,Avg. midlife dim0,Avg. midlife dim1,std midlifedim0,std midlife dim1
alpha Motivational state 0,11.70486647678796,0.0877104033800282,7.548933466349769,0.07349453221365237,7.548933466349769,6.348615985533761,5.85243323839398,10.170100337856388,3.7744667331748847,1.2166654539669952
alpha Motivational state 1,11.051266716189659,0.08210194057151758,5.529697235134523,0.06764551878497425,5.529697235134523,5.765220728491665,5.525633358094829,10.091975807310485,2.7648486175672615,1.7172097185285615
alpha Motivational state 2,10.783624011818386,0.09285314554752791,8.488210677104274,0.08193600247164591,8.488210677104274,5.887864901878881,5.391812005909193,9.322263601800781,4.244105338552137,0.8087013733606351
betta Motivational state 0,17.209490674170176,0.0671261278529498,6.151782397365284,0.059183353716468906,6.151782397365284,3.479741136067298,8.604745337085088,14.625325141355756,3.075891198682642,2.485926890607349
betta Motivational state 1,17.165396707720106,0.07755312552937513,4.5331792119121515,0.05074574954214281,4.5331792119121515,2.8541492506599875,8.582698353860053,14.603169427619726,2.2665896059560757,1.840234510813436
betta Motivational state 2,16.604175264592172,0.05103443805679479,6.663688676983177,0.05739343908503428,6.663688676983177,2.8948163602982673,8.302087632296086,14.208866340685173,3.3318443384915883,2.88096267661715
gamma Motivational state 0,20.20369211716128,0.0351039388421223,5.351714488250248,0.030158989739909537,5.351714488250248,1.0887552883027536,10.10184605858064,14.931881161382456,2.675857244125124,0.18952054002033383
gamma Motivational state 1,19.292440388163566,0.10154175430451495,4.933679305162858,0.06761571112532065,4.933679305162858,1.1340584987017874,9.646220194081783,15.732250305161267,2.466839652581429,0.2681236393892313
gamma Motivational state 2,20.146801765093866,0.09744311468026308,6.294669022541033,0.08384916014304723,6.294669022541033,1.9442544598642453,10.073400882546933,19.293916168969265,3.1473345112705164,2.8213343475929227
no_filter Motivational state 0,54.73346271837872,0.6813277384484651,29.84302806658061,1.6566074115600782,29.84302806658061,2.566909257875065,27.36673135918936,63.762325496324245,14.921514033290306,57.50450787132735
no_filter Motivational state 1,61.39445664226855,0.317993855778053,145.59399107178868,0.28978271253195415,145.59399107178868,4.7089124627151016,30.697228321134276,46.34993970073659,72.79699553589434,4.24981259897365
no_filter Motivational state 2,49.614018740606284,0.14713125501199295,22.563995353727734,0.06103630491088339,22.563995353727734,3.5386083900662118,24.807009370303142,43.81598150478407,11.281997676863867,6.216088558876456
