,Clean Channels,N. trials,M0,M1,M2,N. trials w/o OL,M0 w/o OL,M1 w/o OL,M2 w/o OL,captured variance,N. trials w/o OL 2,M0 w/o OL 2,M1 w/o OL 2,M2 w/o OL 2
gamma1,53.0,648.0,216.0,216.0,216.0,478.0,196.0,125.0,157.0,0.8364673704508261,465.0,187.0,121.0,157.0
gamma2,53.0,648.0,216.0,216.0,216.0,614.0,212.0,205.0,197.0,0.8798670731216824,581.0,200.0,201.0,180.0
betta1,53.0,648.0,216.0,216.0,216.0,632.0,209.0,212.0,211.0,0.7358931430097342,599.0,199.0,195.0,205.0
betta2,53.0,648.0,216.0,216.0,216.0,628.0,211.0,202.0,215.0,0.7564555672910992,592.0,199.0,185.0,208.0
alpha1,53.0,648.0,216.0,216.0,216.0,642.0,214.0,216.0,212.0,0.47743072053850777,620.0,214.0,201.0,205.0
alpha2,53.0,648.0,216.0,216.0,216.0,628.0,211.0,202.0,215.0,0.6475142691162209,616.0,204.0,199.0,213.0
noFilter1,53.0,648.0,216.0,216.0,216.0,639.0,215.0,215.0,209.0,0.421501581032162,617.0,208.0,209.0,200.0
noFilter2,53.0,648.0,216.0,216.0,216.0,623.0,208.0,203.0,212.0,0.6278204955280511,602.0,200.0,194.0,208.0
