,Avg. life dim0,Avg. life dim1,std lifedim0,std life dim1,persistent entropy dim0,persistent entropy dim1,Avg. midlife dim0,Avg. midlife dim1,std midlifedim0,std midlife dim1
alpha Motivational state 0,0.1799822174014496,1.3265356023292025,0.17887428769949665,0.00847498698729565,0.17887428769949665,4.057975127258042,0.0899911087007248,0.6632678011646013,0.08943714384974832,0.1429464630207633
alpha Motivational state 1,0.13816106232252312,0.8086485706524148,0.18402495551396345,0.004930122779801371,0.18402495551396345,4.5992561634710105,0.06908053116126156,0.4043242853262074,0.09201247775698172,0.12905113347907896
alpha Motivational state 2,0.16046022465756946,1.140413739530583,0.16795389712769934,0.007760500908750669,0.16795389712769934,4.275258244806965,0.08023011232878473,0.5702068697652914,0.08397694856384967,0.09637187162272642
betta Motivational state 0,0.2146348223231397,1.8570578105349913,0.1886907900996974,0.009549879941789165,0.1886907900996974,3.4245234589298437,0.10731741116156986,0.9285289052674957,0.0943453950498487,0.21230170708339047
betta Motivational state 1,0.1861035964658725,1.277055713679608,0.1795531285123318,0.016528418516642968,0.1795531285123318,3.7473457810925748,0.09305179823293624,0.638527856839804,0.0897765642561659,0.3332974139065492
betta Motivational state 2,0.19138273020155983,1.1201518620620707,0.16930862204273564,0.00792761694936061,0.16930862204273564,4.378680382420973,0.09569136510077991,0.5600759310310354,0.08465431102136782,0.20183274430512246
gamma Motivational state 0,0.2988858598518616,1.9186543906619502,0.2842590074237578,0.03182185421157355,0.2842590074237578,3.6682477106221656,0.1494429299259308,0.9593271953309751,0.1421295037118789,0.7337304752942209
gamma Motivational state 1,0.2971779349576248,1.3440547512856211,0.30617600115748933,0.04095292508636977,0.30617600115748933,3.96593943747527,0.1485889674788124,0.6720273756428106,0.15308800057874467,0.7581703829929832
gamma Motivational state 2,0.27844289043598947,1.6790950059624818,0.2811481469850175,0.03993531903098395,0.2811481469850175,3.604465440288616,0.13922144521799473,0.8395475029812409,0.14057407349250875,0.7318504271512307
no_filter Motivational state 0,0.8862318099340439,5.68903645731854,0.7303578499752998,0.08696171496339265,0.7303578499752998,4.16305389565715,0.44311590496702197,2.84451822865927,0.3651789249876499,1.5662826551599582
no_filter Motivational state 1,0.7788542175166876,3.7802924216053864,0.7552589093772786,0.09338576117834291,0.7552589093772786,4.582207565585675,0.3894271087583438,1.8901462108026932,0.3776294546886393,1.8476574717106184
no_filter Motivational state 2,0.8525836309377061,5.850487674365638,0.7508868472370673,0.08671884886196363,0.7508868472370673,3.881690238937961,0.42629181546885303,2.925243837182819,0.37544342361853367,1.5944550780238367
