,M0 dimension 0,M1 dimension 0,M2 dimension 0,M0 dimension 1,M1 dimension 1,M1 dimension 2
alpha Motivational state 0,0.0,0.3728454963916562,0.22778096280994875,0.0,0.016937339957569186,0.016937339957569186
alpha Motivational state 1,0.3728454963916562,0.0,0.20415934460913088,0.016937339957569186,0.0,0.01569332451941055
alpha Motivational state 2,0.22778096280994875,0.20415934460913088,0.0,0.016937339957569186,0.01569332451941055,0.0
betta Motivational state 0,0.0,0.25324723365522506,0.2038968929533349,0.0,0.040661988640643076,0.015203764065803926
betta Motivational state 1,0.25324723365522506,0.0,0.24431585903961817,0.040661988640643076,0.0,0.040661988640643076
betta Motivational state 2,0.2038968929533349,0.24431585903961817,0.0,0.015203764065803926,0.040661988640643076,0.0
gamma Motivational state 0,0.0,0.24679529971716563,0.18751694213118208,0.0,0.09552070756134734,0.06388754680978703
gamma Motivational state 1,0.24679529971716563,0.0,0.313636957252462,0.09552070756134734,0.0,0.09552070756134734
gamma Motivational state 2,0.18751694213118208,0.313636957252462,0.0,0.06388754680978703,0.09552070756134734,0.0
no_filter Motivational state 0,0.0,0.7111506668779841,0.45111964724034026,0.0,0.1749034247266592,0.1749034247266592
no_filter Motivational state 1,0.7111506668779841,0.0,0.37930892989021714,0.1749034247266592,0.0,0.14624374399651652
no_filter Motivational state 2,0.45111964724034026,0.37930892989021714,0.0,0.1749034247266592,0.14624374399651652,0.0
