,1,2,3,4,5,6,7,8,9,10
Dim0 no_filter Motivational state 0,5.612497217051413,3.5508214522538486,3.5477363593745785,3.517969627769826,3.466363965440512,2.3560693509970365,2.305288490255386,2.1764374974389598,2.1666917184862347,2.114185539041168
Dim0 no_filter Motivational state 1,6.168956343301288,4.171959056624194,4.130297368655497,4.1136541459862475,4.0933421242281804,1.6449186841190524,1.6077882494455495,1.5988383310399799,1.5874606861361746,1.5870751588837353
Dim0 no_filter Motivational state 2,5.914559419604187,3.803604178569227,3.7643588596049034,3.764011506543355,3.7532513234908658,1.9600439230463607,1.8541688430150458,1.854026150886163,1.8468655818057202,1.8349390198686215
Dim0 alpha Motivational state 0,1.3401839372509392,1.1128383505870982,0.9162957630523333,0.8832321431496806,0.8657111590825411,0.676321278033633,0.6636968157482026,0.5189691685885525,0.5011077607392753,0.45832869909931473
Dim0 alpha Motivational state 1,1.4716342767239767,1.3789271212409056,1.171285046285557,0.5103866467580244,0.5049771926349264,0.4755009753878746,0.46601184705069365,0.46582921536250843,0.43613755196106885,0.4352434783140559
Dim0 alpha Motivational state 2,1.2701888492422917,1.177266669548024,0.9671257016764262,0.7054156395840051,0.6379301962725924,0.5708504535253528,0.5325039998402071,0.4534057544518043,0.443971660701941,0.4305535830997256
Dim0 betta Motivational state 0,1.503016900580364,0.9579078162625266,0.9531582687371922,0.8795863047147738,0.8233747510989989,0.7518961939199146,0.6835084991706921,0.6453440976166527,0.6433065170047116,0.6429032169877461
Dim0 betta Motivational state 1,1.700195430951443,1.0399977446148365,0.7132361172001208,0.7006802382706643,0.6884311601123246,0.6824050081097547,0.5902786810788392,0.5857091653496435,0.5734262043089766,0.5102831356162777
Dim0 betta Motivational state 2,1.455879571911825,0.9872313805277586,0.7535240189891474,0.6756894117614389,0.660403619739751,0.6529987137296045,0.6452224804087221,0.6444337909500907,0.6079582073450437,0.5009945233923663
Dim0 gamma Motivational state 0,2.1204391814907018,1.580647996872479,1.5739939271089645,1.573039265404825,1.5662268271322706,0.9514769097128332,0.9450877326370176,0.8931911128272944,0.8892575302022413,0.8515324906813918
Dim0 gamma Motivational state 1,2.348950629910937,1.8274432965896446,1.8144478025871318,1.7857446695833274,1.7669069617704833,0.7468890620272434,0.7284561477105911,0.7094387539858181,0.7007463384159068,0.69094988552875
Dim0 gamma Motivational state 2,2.035313672658475,1.6731538483312491,1.6729180441866902,1.6334718619724273,1.607764253824973,0.9221286856272782,0.9161422999003896,0.8927426658707631,0.8747705283345527,0.6640155485502097
Dim1 no_filter Motivational state 0,0.3498068494533184,0.3395960451045581,0.18925185397909328,0.1728869585938997,0.14415635915262293,0.14107649782336562,0.10541407615184051,0.10349595181626237,0.09026395148867561,0.08091983709224815
Dim1 no_filter Motivational state 1,0.29248748799303304,0.2893442216157087,0.27062962404073687,0.25168119533873123,0.23143362162755965,0.21039631785379864,0.20897775697238674,0.2066977831205683,0.20570844739329286,0.19517703780201767
Dim1 no_filter Motivational state 2,0.34442570109266946,0.23051105300973695,0.21282868816042577,0.19225953234470028,0.14889946118511288,0.13629160669320917,0.13582391559649554,0.11053874519169771,0.10885435057017068,0.1029895957705722
Dim1 alpha Motivational state 0,0.03387467991513826,0.02704247528547732,0.024597460771904,0.018355670759451853,0.011108914667773084,0.01011762391021262,0.009835872117421152,0.009418756777778592,0.008843897400823197,0.008702606203557131
Dim1 alpha Motivational state 1,0.020657078219046887,0.016697904004668362,0.015479121618047709,0.011865655179888066,0.011294026917181621,0.011096900129851248,0.009980753586430663,0.009143305543808405,0.008136845066390369,0.00754857968073025
Dim1 alpha Motivational state 2,0.031386649038821074,0.02317593222431491,0.02083250202486958,0.017463957398228633,0.017043923180010967,0.015146320188322265,0.015045997825223381,0.014805341314905185,0.01193817721985857,0.011145849555397713
Dim1 betta Motivational state 0,0.03420618378990714,0.030407528131607825,0.021870742071433025,0.01454164263338753,0.01404928671299166,0.007378934943741811,0.007156779616676712,0.007036589236429525,0.006519807540317862,0.003815473273889619
Dim1 betta Motivational state 1,0.08132397728128604,0.038340735201958465,0.03801359403160226,0.019666115666064243,0.01783729989172489,0.01535822325293601,0.013470583446139911,0.011546522080216504,0.00834860010339239,0.008176202175633862
Dim1 betta Motivational state 2,0.02915632292771564,0.028891254505034603,0.02072911813086875,0.01923910418011493,0.017003720717612525,0.016026614971784148,0.0136956699003557,0.013180559383589974,0.011512228483804815,0.010676812670485925
Dim1 gamma Motivational state 0,0.13173802862782447,0.09613113344765711,0.07642022159441542,0.07432571532267018,0.054151926930181116,0.03188932980533182,0.025357180801929946,0.022746593640905866,0.011168129854598197,0.01096383765791703
Dim1 gamma Motivational state 1,0.19104141512269468,0.1329445889970584,0.1187310860392059,0.11738008974652092,0.06980080245212905,0.05918220760221804,0.043633614201465276,0.02789684009249016,0.021482267913082165,0.020292821975566255
Dim1 gamma Motivational state 2,0.1370622664633001,0.12777509361957406,0.11221419188268078,0.09860783459936195,0.09106792831072041,0.06310790539847755,0.025183317567198493,0.022789906060429965,0.01919355438693393,0.016882631066444553
