,dimension 0,dimension 1
Landscapes,0.20625801418180773,0.11119556018793894
Silhouettes,0.0,0.10795884168087021
Descriptors,0.0,0.10795884168087021
Bottleneck,0.002916839443080911,0.18073169116694607
