,dimension 0,dimension 1
Landscapes,0.04631143831480128,0.03960945558831698
Silhouettes,0.0,0.039536248308768125
Descriptors,0.0,0.039536248308768125
Bottleneck,0.002990631755945232,0.06211561412137919
