,dimension 0,dimension 1
Landscapes,0.14797108095968062,0.08346227616241858
Silhouettes,0.0,0.08084367134217965
Descriptors,0.0,0.08084367134217965
Bottleneck,0.001974393877131702,0.15881456113828227
