,dimension 0,dimension 1
Landscapes,0.03560428849902534,0.027144249512670564
Silhouettes,0.0,0.02697855750487329
Descriptors,0.0,0.02697855750487329
Bottleneck,0.00138401559454191,0.037456140350877194
