,Avg. life dim0,Avg. life dim1,std lifedim0,std life dim1,persistent entropy dim0,persistent entropy dim1,Avg. midlife dim0,Avg. midlife dim1,std midlifedim0,std midlife dim1
alpha Motivational state 0,2.3686341406350184,8.800700988049078,1.2315987760314435,0.01483939992865279,1.2315987760314435,6.298504688819458,1.1843170703175092,4.400350494024539,0.6157993880157218,0.4419388824978215
alpha Motivational state 1,2.2413867488676353,10.733752097355008,1.0335853104344743,0.012555235558030852,1.0335853104344743,5.8725784896997855,1.1206933744338177,5.366876048677504,0.5167926552172372,0.27733097206015234
alpha Motivational state 2,2.2315502394443607,9.52275399208435,1.435732158821275,0.012909276148996228,1.435732158821275,6.1838869491280075,1.1157751197221804,4.761376996042175,0.7178660794106375,0.07932048655078588
betta Motivational state 0,3.398059595722044,50.50219606055866,0.99416265421423,0.014789798876445548,0.99416265421423,4.2794026689379985,1.699029797861022,25.25109803027933,0.497081327107115,0.2153041071681752
betta Motivational state 1,3.2304308359273843,174.03946128558783,0.7989803251306412,0.004579039838689215,0.7989803251306412,2.3259254289662255,1.6152154179636922,87.01973064279392,0.3994901625653206,0.09781913797189543
betta Motivational state 2,3.3183206485098187,119.18301662564431,1.1431619785749614,0.009443024703878214,1.1431619785749614,3.19999534975606,1.6591603242549093,59.59150831282216,0.5715809892874807,0.14476246950516006
gamma Motivational state 0,4.471401017905162,192.71738387171249,1.1627375196038834,0.007885179370583771,1.1627375196038834,3.0634110378784194,2.235700508952581,96.35869193585624,0.5813687598019417,0.24785726430814617
gamma Motivational state 1,3.9393413225954235,565.9520366795425,1.152745015043172,0.00311099153787902,1.152745015043172,1.202662545887904,1.9696706612977117,282.97601833977126,0.576372507521586,0.04105585228501866
gamma Motivational state 2,4.426290559344932,381.5462462155332,1.1803389750493045,0.011304067437618335,1.1803389750493045,2.112250934165183,2.213145279672466,190.7731231077666,0.5901694875246523,0.32221418975506355
no_filter Motivational state 0,11.914826869233108,233.4222900290668,5.597051595080431,0.10592911655284339,5.597051595080431,3.901083142274175,5.957413434616554,116.7111450145334,2.7985257975402154,9.585558225893141
no_filter Motivational state 1,12.835134184582774,134.92543496476037,26.851053980972416,0.04139230026039679,26.851053980972416,4.801444468315449,6.417567092291387,67.46271748238019,13.425526990486208,0.9168968819414351
no_filter Motivational state 2,10.943370911123704,248.24172961549036,4.025666123120116,0.06724163176679217,4.025666123120116,3.432325405443196,5.471685455561852,124.12086480774518,2.012833061560058,1.4410331122107018
