1(1.0929377358951327, 1.3276241435507767)
1(1.1723974492900955, 1.3198896422312443)
1(2.074336980061305, 2.2112884705716764)
1(0.7017519287230467, 0.7553980677343282)
1(0.9275973327783361, 0.9535491034542334)
1(0.7123428615257641, 0.7361474760840374)
1(0.31677387859400447, 0.33361093143955156)
1(0.25669779794530095, 0.2708143532634696)
1(0.24720435381881561, 0.2602774763986295)
1(0.27136375769057436, 0.2841921677710889)
1(0.2377034004244234, 0.2496735770194415)
1(0.7892951690094143, 0.8008211245743183)
1(0.28331900885910244, 0.29480323268728104)
1(0.27171076151232093, 0.28316326335372843)
1(0.26350809339405146, 0.27474572754858223)
1(0.2651290753985755, 0.2753358201043431)
1(0.2620481914674989, 0.27221831881422554)
1(0.30244617822499265, 0.3125328927822052)
1(0.7911813618289901, 0.801137887423133)
1(0.2626861855463791, 0.2723561440759807)
1(0.26945266581623745, 0.27859047311912105)
1(0.28190448481968755, 0.29036624170638203)
1(0.3133535297564436, 0.3216548099918079)
1(0.27561088078307366, 0.2837957657999507)
1(0.280813529743253, 0.28898573079537476)
1(0.28035201239806673, 0.2883806211424281)
1(0.3223216216593111, 0.3302929924211267)
1(0.2620068931588438, 0.2699062117767441)
1(0.2498403611607438, 0.2576314837840529)
1(0.24510618512756063, 0.25288207709588983)
1(0.260223810451103, 0.2673195387378012)
1(0.2655515309582825, 0.2725327729464394)
1(0.2539228143192884, 0.2608929825398192)
1(0.27733551075150176, 0.28422878344455543)
1(0.25494355306368577, 0.26179220334571146)
1(0.2655453757606595, 0.2723801818941205)
1(0.26511091829055916, 0.271872237416782)
1(0.2431976414171035, 0.24994774950604887)
1(0.2763135276616662, 0.2830465094084491)
1(0.27047166867766853, 0.2771720418412974)
1(0.2706149948027117, 0.2771720418412974)
1(0.2756916098771493, 0.28216939777935973)
1(0.28441139492382117, 0.29084075339264714)
1(0.24457919460134134, 0.2508816363304957)
1(0.25748412676876326, 0.2634630198153835)
1(0.27975875635443564, 0.2856211670556214)
1(0.26303063944044497, 0.26885127748180304)
1(0.24635590618705358, 0.2521460311072597)
1(0.244861114816779, 0.2505155861924359)
1(0.2670696478775679, 0.2725684471123378)
1(0.2758600589304198, 0.28129004650062644)
1(0.2636804849191241, 0.2690946265135649)
1(0.25195523714807544, 0.25729220685363424)
1(0.2585345649623759, 0.2636960821275577)
1(0.29755726699564805, 0.3026962349023291)
1(0.2800049489165682, 0.2849653567075507)
1(0.26410365199643804, 0.26904124172209865)
1(0.24603569860175287, 0.2508919665081626)
1(0.26727210715202293, 0.2720958368618573)
1(0.28784614404637476, 0.2925678109720582)
1(0.27028095915092604, 0.27494055549165025)
1(0.28861254215069954, 0.2932470594824155)
1(0.24032258380248994, 0.2449339843446676)
1(0.2548490708317445, 0.2594291972150526)
1(0.2783755322953415, 0.28295085627771405)
1(0.286283233755114, 0.2908036742184629)
1(0.28124359023940154, 0.2857408751401607)
1(0.2529545356642122, 0.2572072422461561)
1(0.24037060177134312, 0.24454573888789152)
1(0.2705665012882951, 0.2746323094680849)
1(0.27240907957134847, 0.27645273768671436)
1(0.25608020151110533, 0.26009430010696644)
1(0.27266741157573937, 0.2766274852498273)
1(0.2635478584089214, 0.26750064880120844)
1(0.30123795594413916, 0.3051323398719412)
1(0.24764930853460443, 0.25143235238736195)
1(0.2683304984984638, 0.2720223058744762)
1(0.2811962058310901, 0.2848693943911052)
1(0.2862307231392056, 0.28988542766918407)
1(0.2887166355158919, 0.29231877827458136)
1(0.26420893897148146, 0.267770713771959)
1(0.28084699530341023, 0.28431909054419596)
1(0.245298060515927, 0.24871378464427676)
1(0.2705777420203012, 0.27387571987958403)
1(0.3038878450064055, 0.30711305587143783)
1(0.2622218428065951, 0.2654441879796289)
1(0.2610745695149783, 0.2642811874447572)
1(0.24898327139517468, 0.25218225997376037)
1(0.2614776596602456, 0.2646182290189086)
1(0.2628272901039329, 0.26591947361101415)
1(0.24938502749399147, 0.2524523079966734)
1(0.24823119737804336, 0.25128167937217744)
1(0.24407836527094354, 0.24711869358544888)
1(0.2732265278032464, 0.2762580915697483)
1(0.26413999772347985, 0.26715751791785536)
1(0.28945237228958587, 0.29239930735602476)
1(0.25720599571297553, 0.26012835009911334)
1(0.28609581449561095, 0.28895115235587265)
1(0.256919870569505, 0.2597678605276445)
1(0.2644098899163566, 0.2672349619072828)
1(0.2565838735137718, 0.2593510721162223)
1(0.2526001670609464, 0.25533295846609616)
1(0.30612888604617833, 0.3087876720629093)
1(0.2821905867584042, 0.28483208381358555)
1(0.24393116134171683, 0.24646406493978149)
1(0.2524881676066068, 0.2549270073954753)
1(0.2608757011904108, 0.26330630706347374)
1(0.30113283846897315, 0.3035367505567936)
1(0.25943846596485715, 0.26180897363082717)
1(0.32857932152433006, 0.33085667932947527)
1(0.25260863884075757, 0.2548207634468821)
1(0.2790012442904213, 0.281186043035979)
1(0.2554486397579985, 0.2576246632760547)
1(0.2686704795343731, 0.2707580412576361)
1(0.24669058745555683, 0.24876897885235813)
1(0.28491931496265077, 0.2869970277341485)
1(0.32790822442509127, 0.3299449424346563)
1(0.27094443444486316, 0.2729364203077152)
1(0.2553069804834016, 0.2571980557766397)
1(0.24844318222919612, 0.2503337436059657)
1(0.24957327684380234, 0.25143235238736195)
1(0.25384082005073266, 0.2556668622765042)
1(0.27352380619208405, 0.27534249224571183)
1(0.25290100447292485, 0.2547135682438083)
1(0.2685460816628, 0.27034170460710777)
1(0.26602996050213773, 0.2678049746491049)
1(0.25037891780162935, 0.2521435356996799)
1(0.24732250374963097, 0.24906156189518022)
1(0.2667751904512836, 0.268483746586371)
1(0.27454897975455794, 0.27625166708064336)
1(0.25778685979407207, 0.25945204317195547)
1(0.30100520546049725, 0.30264903942992194)
1(0.2817527217101869, 0.2833934125413569)
1(0.27108529383876956, 0.2727234392479261)
1(0.2708683149432849, 0.2724944239880552)
1(0.27173524719696723, 0.2733507359027914)
1(0.245563392015884, 0.24711869358544888)
1(0.2762517543749077, 0.2777974387297562)
1(0.2600061300792109, 0.2614600289913676)
1(0.2652558165889112, 0.26665947255034145)
1(0.2513906301984722, 0.2527565897130878)
1(0.2738528779676285, 0.2751796047694417)
1(0.31271399906008557, 0.3140279949495577)
1(0.2769112276596151, 0.27813548732809734)
1(0.2622874639733486, 0.26348265095296736)
1(0.2676452942317199, 0.2688037455139321)
1(0.264705618386427, 0.265836802383243)
1(0.2896177786677156, 0.29074718813030465)
1(0.28464433732561023, 0.28575333381190643)
1(0.25780991636485084, 0.25889726862103307)
1(0.25519120853268185, 0.25624462016781335)
1(0.27691550049935376, 0.27795811590064773)
1(0.27495942911205695, 0.27599823290278125)
1(0.2624460157539664, 0.2634701994495149)
1(0.30191264102563287, 0.30293681991607774)
1(0.27417808571804003, 0.27519888275683774)
1(0.2411566925602741, 0.24216700145615558)
1(0.2771485160564256, 0.2781587632395731)
1(0.2828957652687116, 0.2838677257608909)
1(0.990785443003313, 0.9917354356520542)
1(0.2766514974206599, 0.27757884204517475)
1(0.30622147363603475, 0.30709218073377514)
1(0.2764652253232329, 0.27728256339175933)
1(0.2717487229588931, 0.2725327729464394)
1(0.2830400653893112, 0.2838213910086933)
1(0.23916144945216164, 0.2399185629791025)
1(0.2656216715474016, 0.2663565771012898)
1(0.2989262924000002, 0.29961613662668585)
1(0.2542111857191645, 0.2548207634468821)
1(0.24737374399064752, 0.24795546199267385)
1(0.24972975604948103, 0.2503005927994817)
1(0.2749683917038998, 0.275534466191739)
1(0.2642076899159106, 0.2647278358062784)
1(0.28141220031079467, 0.28186937174671733)
1(0.3176813484514386, 0.3181175041631389)
1(0.24813880786871226, 0.24855511730215304)
1(0.2617111622670451, 0.26211831841798083)
1(0.247615490281089, 0.24802040423587565)
1(0.24770297201585142, 0.24810781321241276)
1(0.2567020080079895, 0.2570969968658632)
1(0.27586101926512224, 0.27625166708064336)
1(0.23952800420572432, 0.2399185629791025)
1(0.2748217692981665, 0.27519888275683774)
1(0.2844627341804817, 0.2848305033316444)
1(0.27916004703843916, 0.2795071711969554)
1(0.2809346146618918, 0.28124834464231346)
1(0.287252136913258, 0.2875353047523194)
1(0.29376963867933903, 0.2940297566981072)
1(0.2512322632582465, 0.25148870304307647)
1(0.2973124105347696, 0.2975661977274165)
1(0.28826218196205994, 0.28849332950864665)
1(0.25436364050171345, 0.2545640886181192)
1(0.25342578342298416, 0.253596223271442)
1(0.33013567658641274, 0.33029644349054876)
1(0.2511927998336849, 0.2513381158967759)
1(0.270370217540426, 0.27049395176056423)
1(0.27266846543404066, 0.2727209275043792)
1(0.26861046533504496, 0.2686564663605988)
1(0.2560716467024865, 0.25610143676715313)
0(0.0, inf)
0(0.0, 2.0572402261507095)
0(0.0, 1.9961534226050655)
0(0.0, 1.8387337772503867)
0(0.0, 1.5722440906186026)
0(0.0, 1.5393027594898576)
0(0.0, 1.4721816452416756)
0(0.0, 1.4649985774271825)
0(0.0, 1.43704292539444)
0(0.0, 1.0680166781778195)
0(0.0, 1.0165365036988794)
0(0.0, 1.0124207379343164)
0(0.0, 1.0122639618057943)
0(0.0, 0.9984708928328061)
0(0.0, 0.9692622548256886)
0(0.0, 0.9445771431027353)
0(0.0, 0.9248986199165431)
0(0.0, 0.8932732602846685)
0(0.0, 0.886147721390975)
0(0.0, 0.8649273253838184)
0(0.0, 0.8535659215964732)
0(0.0, 0.8482023923872481)
0(0.0, 0.8349112629943322)
0(0.0, 0.8247127856235473)
0(0.0, 0.7951851431606041)
0(0.0, 0.7851143887925658)
0(0.0, 0.7836092976527753)
0(0.0, 0.7586535630488266)
0(0.0, 0.7200953959370037)
0(0.0, 0.7189202087636661)
0(0.0, 0.7157841781557798)
0(0.0, 0.7155640783974194)
0(0.0, 0.6905112381314806)
0(0.0, 0.686479473134232)
0(0.0, 0.6695450004362273)
0(0.0, 0.6578036225435463)
0(0.0, 0.6504460427044713)
0(0.0, 0.6308671981414917)
0(0.0, 0.6276601645071777)
0(0.0, 0.6141024342831624)
0(0.0, 0.599809475913179)
0(0.0, 0.5936205334475317)
0(0.0, 0.5683957758838776)
0(0.0, 0.5582621684802868)
0(0.0, 0.52406056435207)
0(0.0, 0.5153513698995003)
0(0.0, 0.5010029835677576)
0(0.0, 0.4901897173613316)
0(0.0, 0.484910573827507)
0(0.0, 0.4807675883498821)
0(0.0, 0.47969174955437927)
0(0.0, 0.47110943443283926)
0(0.0, 0.4633702704346554)
0(0.0, 0.4543940541791898)
0(0.0, 0.44499390133220945)
0(0.0, 0.43923568004669117)
0(0.0, 0.4349743773932879)
0(0.0, 0.43418857968590885)
0(0.0, 0.4305077305435712)
0(0.0, 0.4286146143504852)
0(0.0, 0.42456797021440645)
0(0.0, 0.4151608824889448)
0(0.0, 0.4083690939822831)
0(0.0, 0.4042534451361361)
0(0.0, 0.39616562959256085)
0(0.0, 0.39333479998920573)
0(0.0, 0.38937621707271947)
0(0.0, 0.38454851777428695)
0(0.0, 0.38280479473735063)
0(0.0, 0.38137913429698245)
0(0.0, 0.3774028854709951)
0(0.0, 0.36702091245798)
0(0.0, 0.36523712505206296)
0(0.0, 0.3652031682998297)
0(0.0, 0.35842757374732814)
0(0.0, 0.3574512225219605)
0(0.0, 0.35150950732507913)
0(0.0, 0.34905072441465335)
0(0.0, 0.33927148689865017)
0(0.0, 0.339161013000727)
0(0.0, 0.33905226555005435)
0(0.0, 0.33745226508599135)
0(0.0, 0.33694243340435476)
0(0.0, 0.3355874388525068)
0(0.0, 0.33451679955085073)
0(0.0, 0.3320235892225317)
0(0.0, 0.33031222573523494)
0(0.0, 0.32891527034142753)
0(0.0, 0.3278778473745002)
0(0.0, 0.3277718640175861)
0(0.0, 0.32771185225203026)
0(0.0, 0.32734719342125884)
0(0.0, 0.32680012498318944)
0(0.0, 0.3260281813986339)
0(0.0, 0.32511043569262715)
0(0.0, 0.32504960767420565)
0(0.0, 0.32445441220471655)
0(0.0, 0.32079229936204806)
0(0.0, 0.32033996041586155)
0(0.0, 0.32029403785763527)
0(0.0, 0.3200728990664542)
0(0.0, 0.318288228589707)
0(0.0, 0.3181403941031405)
0(0.0, 0.3164919650055122)
0(0.0, 0.31626277252453416)
0(0.0, 0.3157026696262858)
0(0.0, 0.3150092475659931)
0(0.0, 0.3149033429978779)
0(0.0, 0.31469753160637365)
0(0.0, 0.3134181488939944)
0(0.0, 0.3121950493387499)
0(0.0, 0.31116526939909056)
0(0.0, 0.30535930217010115)
0(0.0, 0.3049955980705015)
0(0.0, 0.304618740752757)
0(0.0, 0.3036713782660533)
0(0.0, 0.3035907184241041)
0(0.0, 0.3030044031858122)
0(0.0, 0.30293396122779037)
0(0.0, 0.3028095025528663)
0(0.0, 0.30195218686050807)
0(0.0, 0.30164298777906934)
0(0.0, 0.30154685579215584)
0(0.0, 0.30151765756130194)
0(0.0, 0.30126376442790337)
0(0.0, 0.30116069991921435)
0(0.0, 0.3006842908583741)
0(0.0, 0.3006274353842316)
0(0.0, 0.30061395148019066)
0(0.0, 0.30052005734008447)
0(0.0, 0.30046598487739223)
0(0.0, 0.3003114392884333)
0(0.0, 0.3001361584697587)
0(0.0, 0.2999233824564532)
0(0.0, 0.2996968449430426)
0(0.0, 0.2979070926847439)
0(0.0, 0.2973089735507807)
0(0.0, 0.296886851521917)
0(0.0, 0.2966613973925645)
0(0.0, 0.2965104661075185)
0(0.0, 0.29604318139717717)
0(0.0, 0.2958920448239884)
0(0.0, 0.295547829898425)
0(0.0, 0.2948653878060395)
0(0.0, 0.29484935540296553)
0(0.0, 0.2943642479619353)
0(0.0, 0.2943079234343812)
0(0.0, 0.2942088836227081)
0(0.0, 0.2938046673061059)
0(0.0, 0.29328245512177004)
0(0.0, 0.2930342708167611)
0(0.0, 0.2920826829727051)
0(0.0, 0.2918501697240871)
0(0.0, 0.2915043402576139)
0(0.0, 0.2914916396760837)
0(0.0, 0.29124048029995253)
0(0.0, 0.29118986797007274)
0(0.0, 0.2908778137976977)
0(0.0, 0.29031163736673743)
0(0.0, 0.2902440583309972)
0(0.0, 0.2894244095360923)
0(0.0, 0.28936244099273906)
0(0.0, 0.288713175258092)
0(0.0, 0.28845305638665036)
0(0.0, 0.28818996448875533)
0(0.0, 0.2879461158865265)
0(0.0, 0.2877020544173254)
0(0.0, 0.2874721494186622)
0(0.0, 0.2872331864686593)
0(0.0, 0.2871868732283235)
0(0.0, 0.28718583949469934)
0(0.0, 0.2866763650200813)
0(0.0, 0.28661753078801167)
0(0.0, 0.2865204229326641)
0(0.0, 0.28606916439715124)
0(0.0, 0.2858687551896239)
0(0.0, 0.2857088700912328)
0(0.0, 0.2856662498023561)
0(0.0, 0.28541632929277755)
0(0.0, 0.2846470342199899)
0(0.0, 0.28430675058552873)
0(0.0, 0.28402642270905165)
0(0.0, 0.28397992774092196)
0(0.0, 0.2839139798503903)
0(0.0, 0.28379755741275325)
0(0.0, 0.2832325455457173)
0(0.0, 0.28292616158738654)
0(0.0, 0.282648416342953)
0(0.0, 0.28255725083693045)
0(0.0, 0.2824189538939765)
0(0.0, 0.2822946420340176)
0(0.0, 0.28225937939170037)
0(0.0, 0.2821752846552763)
0(0.0, 0.28094959459293345)
0(0.0, 0.2798333426733357)
0(0.0, 0.2797284703667165)
0(0.0, 0.2794121709125538)
0(0.0, 0.2791672940874533)
0(0.0, 0.2785638648727421)
0(0.0, 0.2784341288513749)
0(0.0, 0.2783684920259688)
0(0.0, 0.2779654636294104)
0(0.0, 0.2775231901790129)
0(0.0, 0.27746141639117)
0(0.0, 0.27732570888050945)
0(0.0, 0.27730662938497175)
0(0.0, 0.27618334586271726)
0(0.0, 0.2760992021246302)
0(0.0, 0.275936108077608)
0(0.0, 0.27584120969693243)
0(0.0, 0.27487619482030035)
0(0.0, 0.2748328039129892)
0(0.0, 0.27466949185641787)
0(0.0, 0.27464000512444836)
0(0.0, 0.27444933885348183)
0(0.0, 0.27442129448632097)
0(0.0, 0.2743180197187912)
0(0.0, 0.2743073394723316)
0(0.0, 0.2739061154213854)
0(0.0, 0.273905981111349)
0(0.0, 0.27368086949357023)
0(0.0, 0.27312119135328883)
0(0.0, 0.2728632481610733)
0(0.0, 0.2727198233832855)
0(0.0, 0.27245936648483315)
0(0.0, 0.27243378618873243)
0(0.0, 0.2719163024218164)
0(0.0, 0.27174682387738675)
0(0.0, 0.27164901931217655)
0(0.0, 0.27159906172901493)
0(0.0, 0.2715570454330601)
0(0.0, 0.2709965963319022)
0(0.0, 0.27097323298797193)
0(0.0, 0.27093711925300906)
0(0.0, 0.2705398956452528)
0(0.0, 0.2704829034148739)
0(0.0, 0.2703327934553222)
0(0.0, 0.270289620755176)
0(0.0, 0.2702030762894833)
0(0.0, 0.2701232590840251)
0(0.0, 0.26999690600954435)
0(0.0, 0.2699267749198825)
0(0.0, 0.26977723195167713)
0(0.0, 0.2695583471582911)
0(0.0, 0.2695132090699397)
0(0.0, 0.2692634839062209)
0(0.0, 0.2692118241994164)
0(0.0, 0.2692098907132715)
0(0.0, 0.2689805793082566)
0(0.0, 0.2688347396685615)
0(0.0, 0.2687835982556982)
0(0.0, 0.2685518202441461)
0(0.0, 0.26831544830293486)
0(0.0, 0.26829128712402034)
0(0.0, 0.2682344438608567)
0(0.0, 0.2682327724933427)
0(0.0, 0.26808945205180407)
0(0.0, 0.2679151621268074)
0(0.0, 0.26790802880925674)
0(0.0, 0.2677634645694067)
0(0.0, 0.2676312960901879)
0(0.0, 0.267326091891064)
0(0.0, 0.267274379451781)
0(0.0, 0.2671400113557347)
0(0.0, 0.2670254640869018)
0(0.0, 0.26677930780277836)
0(0.0, 0.2666403135550334)
0(0.0, 0.26636321538514923)
0(0.0, 0.2659458521171216)
0(0.0, 0.26588442986878696)
0(0.0, 0.26563020999268006)
0(0.0, 0.26541795845227284)
0(0.0, 0.2652178339068144)
0(0.0, 0.2651401862696297)
0(0.0, 0.26510388184675693)
0(0.0, 0.2649605220653628)
0(0.0, 0.2649475710060339)
0(0.0, 0.2649444308920792)
0(0.0, 0.26488112934683156)
0(0.0, 0.26459428640073546)
0(0.0, 0.26454391570104746)
0(0.0, 0.26434214733325395)
0(0.0, 0.2640354722253681)
0(0.0, 0.2640237637082172)
0(0.0, 0.2640051848446416)
0(0.0, 0.26388296589621385)
0(0.0, 0.26359129104793644)
0(0.0, 0.26334582530270717)
0(0.0, 0.2632300123879186)
0(0.0, 0.2631292959457997)
0(0.0, 0.2629032599455797)
0(0.0, 0.2626674378095873)
0(0.0, 0.2626137261381037)
0(0.0, 0.2624892445100145)
0(0.0, 0.26237962922399416)
0(0.0, 0.2623113045953753)
0(0.0, 0.26230818415175144)
0(0.0, 0.2621363807942318)
0(0.0, 0.26182418336065894)
0(0.0, 0.26177733953203935)
0(0.0, 0.2617495075509584)
0(0.0, 0.26173302691213474)
0(0.0, 0.26142786073342855)
0(0.0, 0.26134957279861804)
0(0.0, 0.26128584889514167)
0(0.0, 0.2611066318360693)
0(0.0, 0.2610421601735462)
0(0.0, 0.2609097165899717)
0(0.0, 0.2607183895626501)
0(0.0, 0.2605305427982021)
0(0.0, 0.2604185170868326)
0(0.0, 0.26038409802032153)
0(0.0, 0.26023209218577326)
0(0.0, 0.26021354441644384)
0(0.0, 0.2598145554232106)
0(0.0, 0.2597549407439652)
0(0.0, 0.2597452156247847)
0(0.0, 0.25964099676664415)
0(0.0, 0.25930512221745117)
0(0.0, 0.2592159304939846)
0(0.0, 0.25902891325606864)
0(0.0, 0.2589312242938786)
0(0.0, 0.25888031220191315)
0(0.0, 0.25852617128554245)
0(0.0, 0.2583801100187365)
0(0.0, 0.25824938097848543)
0(0.0, 0.2582398816477047)
0(0.0, 0.2578808656631814)
0(0.0, 0.2573019108371425)
0(0.0, 0.2572614803408262)
0(0.0, 0.25708945611591644)
0(0.0, 0.25646913099241353)
0(0.0, 0.2561870284023803)
0(0.0, 0.2560857682546472)
0(0.0, 0.2560154052137603)
0(0.0, 0.2560081916740279)
0(0.0, 0.2558152169556548)
0(0.0, 0.255807588052279)
0(0.0, 0.25569921195709533)
0(0.0, 0.2556578863328381)
0(0.0, 0.2554683643192597)
0(0.0, 0.2553231328330351)
0(0.0, 0.2552165578406954)
0(0.0, 0.2551967994939472)
0(0.0, 0.25509494744873007)
0(0.0, 0.2548438254562482)
0(0.0, 0.2546282992277214)
0(0.0, 0.25447335066898313)
0(0.0, 0.25438446993392944)
0(0.0, 0.2543669832721947)
0(0.0, 0.2542908969733906)
0(0.0, 0.25402278605234246)
0(0.0, 0.2537806627957512)
0(0.0, 0.2535616211245272)
0(0.0, 0.2535545366766252)
0(0.0, 0.2532502461226213)
0(0.0, 0.2532106086520933)
0(0.0, 0.25244066602650966)
0(0.0, 0.2523537650915005)
0(0.0, 0.252016585383721)
0(0.0, 0.2513337395254714)
0(0.0, 0.251245490092899)
0(0.0, 0.25120353448953275)
0(0.0, 0.2510926876399391)
0(0.0, 0.2508802690546295)
0(0.0, 0.25081384907932247)
0(0.0, 0.25045829379677703)
0(0.0, 0.2503045516450558)
0(0.0, 0.24980964689916024)
0(0.0, 0.24967143933667202)
0(0.0, 0.24944587600920776)
0(0.0, 0.2494148419351176)
0(0.0, 0.24914606200453257)
0(0.0, 0.2490755889858202)
0(0.0, 0.2483957839277833)
0(0.0, 0.24838659254829443)
0(0.0, 0.2479133579725742)
0(0.0, 0.2478542508659535)
0(0.0, 0.2477874699913258)
0(0.0, 0.2477761864323331)
0(0.0, 0.24732503588029592)
0(0.0, 0.24720040611224137)
0(0.0, 0.24711608456639025)
0(0.0, 0.24693109114793285)
0(0.0, 0.2467748995624833)
0(0.0, 0.2467672381537252)
0(0.0, 0.2467384844209237)
0(0.0, 0.24642737248179522)
0(0.0, 0.24624536399062977)
0(0.0, 0.24618908012751708)
0(0.0, 0.24585385533329995)
0(0.0, 0.24579921793446197)
0(0.0, 0.2457065773416037)
0(0.0, 0.24566230796399144)
0(0.0, 0.24564168085792795)
0(0.0, 0.2451877356529282)
0(0.0, 0.24502332990924883)
0(0.0, 0.24488423541049353)
0(0.0, 0.2445574652827372)
0(0.0, 0.2445253344666447)
0(0.0, 0.24420804490991418)
0(0.0, 0.24363648903978594)
0(0.0, 0.2436025361013208)
0(0.0, 0.24339833287957208)
0(0.0, 0.2433325353034277)
0(0.0, 0.242988937326198)
0(0.0, 0.24278099067929507)
0(0.0, 0.24262005201239342)
0(0.0, 0.2419144399921497)
0(0.0, 0.24170395254290747)
0(0.0, 0.24012415342720037)
0(0.0, 0.23955338060091164)
0(0.0, 0.23923665145023926)
0(0.0, 0.23918020623842898)
0(0.0, 0.23787630551506275)
0(0.0, 0.23784463452537505)
0(0.0, 0.23744148858750047)
0(0.0, 0.2372159215552206)
0(0.0, 0.23662183658890482)
0(0.0, 0.23646678401955276)
0(0.0, 0.23642474868410562)
0(0.0, 0.2362510828922243)
0(0.0, 0.23616016484333252)
0(0.0, 0.23588237543077814)
0(0.0, 0.2357186694312908)
0(0.0, 0.23561365198506962)
0(0.0, 0.23521653840217743)
0(0.0, 0.23485450174700867)
0(0.0, 0.2345066754311644)
0(0.0, 0.23425628150088837)
0(0.0, 0.2320093512659592)
0(0.0, 0.22994486702295333)
