1(1.4273858272955928, 1.6691976418225853)
1(1.6875098552130317, 1.7853996162848096)
1(1.0899822747878296, 1.1486994758280342)
1(1.6064047394647643, 1.6577455548931357)
1(1.1751601104357041, 1.2264959017613386)
1(0.8511903720224556, 0.8952197768717832)
1(0.8962785478013945, 0.9389500493856104)
1(1.240886181291488, 1.283484723170619)
1(0.5949952656873627, 0.6149943926315942)
1(0.3983082244882339, 0.41557193496037065)
1(0.2179466488910676, 0.232906882107931)
1(0.9174442806591213, 0.9322886928169483)
1(0.28060002306127957, 0.29420827392290116)
1(0.23588224465337215, 0.24892413529202925)
1(0.2270937027602995, 0.2395212693517353)
1(0.2436025997625295, 0.25370925566483504)
1(0.2447916959636247, 0.2546026354409894)
1(0.2263566930555022, 0.23526840378100916)
1(0.2476445673096724, 0.25623664310620703)
1(0.2590544626465783, 0.2674682715447079)
1(0.2299085379326219, 0.23820635718082736)
1(0.22133493835284815, 0.229519252777672)
1(0.22384970632214207, 0.2320304164091861)
1(0.2167988477396836, 0.224978600783546)
1(0.23169249364082614, 0.23983277768789227)
1(0.24729709810198694, 0.25538834053081083)
1(0.2255042720390558, 0.23326751705721557)
1(0.22285796691536267, 0.23061640291696378)
1(0.21522086958084624, 0.2229354986201528)
1(0.27403325595572336, 0.28141014712656925)
1(0.21913330953462154, 0.2263432931035536)
1(0.25082905265348115, 0.258029917841834)
1(0.22337364455389583, 0.23042454267796378)
1(0.25964380448523805, 0.2662283825119375)
1(0.25118901686654027, 0.2575219920695768)
1(0.223301367458065, 0.22953572138473705)
1(0.22036057600774656, 0.22657795856010743)
1(0.23103162663861893, 0.23724272271290253)
1(0.23475985259367502, 0.2409644254733515)
1(0.21777229092844566, 0.2239745352150672)
1(0.2306378243304326, 0.2367179125326088)
1(0.22449747853430851, 0.23052255308983446)
1(0.21491844084781245, 0.22088085968178095)
1(0.2516313095031768, 0.25758391411269216)
1(0.249441221045904, 0.25527673240728677)
1(0.32632042336227157, 0.3321166492081963)
1(0.229998258771679, 0.23575874450880274)
1(0.22278141082046243, 0.22848008883688412)
1(0.21734616767068157, 0.2229354986201528)
1(0.22433618324928323, 0.22989955417634805)
1(0.22260884429917752, 0.22799304996387568)
1(0.2214512282391137, 0.22681670886619806)
1(0.24747065022702483, 0.2528013600789143)
1(0.2354566050945788, 0.240620665663953)
1(0.25085302727311654, 0.255962331479821)
1(0.22598382909272, 0.23105120324445722)
1(0.23999537902075238, 0.24500584693645647)
1(0.24984546268196914, 0.25477082451597427)
1(0.22780169133118786, 0.23254024147743485)
1(0.23441121607516896, 0.2391078754073379)
1(0.23036364966970074, 0.23502059850447063)
1(0.22434074388605793, 0.22891605627170108)
1(0.2569164122868864, 0.2614860344315788)
1(0.2220296733836827, 0.22657795856010743)
1(0.2505971785081255, 0.25505237881622445)
1(0.2185739031388593, 0.22302234208541552)
1(0.23121581487241127, 0.23561830141048176)
1(0.25246618791637687, 0.2568654054427049)
1(0.2542565224569799, 0.2586334770009694)
1(0.2605486799265723, 0.2648952800979477)
1(0.23370087441018958, 0.23800716285167867)
1(0.23489906031964503, 0.23919259220489636)
1(0.23804014062794662, 0.24226613345863457)
1(0.236753273733051, 0.2409644254733515)
1(0.22333313358162948, 0.22753359114042537)
1(0.2206681735968793, 0.2247622226175256)
1(0.22332647621176172, 0.22741659464871378)
1(0.22508320803293483, 0.2291307295890341)
1(0.24752313984123284, 0.25156781831333525)
1(0.24095189525344818, 0.24489455598191678)
1(0.2531457093499675, 0.2570816379466053)
1(0.22371756751554314, 0.22761451008420527)
1(0.325071861033488, 0.3289421584341966)
1(0.23008458586050676, 0.23393038435531766)
1(0.24059931205919088, 0.2443803419939268)
1(0.22685707901129168, 0.2304517571086927)
1(0.2488885719465184, 0.2524742438462331)
1(0.2490362987434033, 0.25260718938573723)
1(0.23152474632342396, 0.23505424274478876)
1(0.2514381724538971, 0.254953122534368)
1(0.2537174343111585, 0.2572218949787525)
1(0.2269856927751232, 0.2304814629392355)
1(0.22555891934554428, 0.2290138286372013)
1(0.23088647006830906, 0.2343130746062856)
1(0.22061322245563889, 0.22402270207206945)
1(0.25292571163756894, 0.2562671848713141)
1(0.2704055688150031, 0.27374420534629723)
1(0.5021962709231953, 0.5055200523207473)
1(0.22448820946336107, 0.22771062732480477)
1(0.22452587651523565, 0.22772873413919514)
1(0.2207894033174043, 0.2238778410045158)
1(0.21731068997615413, 0.2203840105676055)
1(0.22892576063588183, 0.2319424670123764)
1(0.23352738436829412, 0.23639882591972683)
1(0.22305950582747516, 0.22592341094869836)
1(0.23775059170821514, 0.24059854297119604)
1(0.24371964801966778, 0.2465643590870801)
1(0.22092248237831527, 0.22373237144971356)
1(0.23417723721422504, 0.2369589112458742)
1(0.22475517660478753, 0.22751809976080575)
1(0.24406770414983683, 0.24679156087748552)
1(0.2404418619614614, 0.24316451075245224)
1(0.2645162335699899, 0.26720830571871257)
1(0.2275814474880408, 0.23025243193897876)
1(0.2752366892047777, 0.2778832026836297)
1(0.25237215805765156, 0.25500175650573503)
1(0.21925146060318182, 0.22185959758891113)
1(0.22218765816869246, 0.2247622226175256)
1(0.31287987239402054, 0.31544549948565687)
1(0.22194625389433215, 0.22449579045108106)
1(0.2310855236442089, 0.23363391025075228)
1(0.24713247530166468, 0.24962014862953927)
1(0.23913870559792472, 0.24162006158756574)
1(0.2279654681279554, 0.2304313702315786)
1(0.24747191971380597, 0.24991887917570071)
1(0.22132894105053347, 0.22373237144971356)
1(0.22790818391967418, 0.23030288985202563)
1(0.24063934959085329, 0.24302750950201227)
1(0.2567762650330432, 0.25907314112467306)
1(0.22359996947832156, 0.22588792279825562)
1(0.2413485492802037, 0.24359120646101323)
1(0.21598218280223452, 0.21818667813156437)
1(0.23647497842978712, 0.238649399594332)
1(0.2285861269065816, 0.23075913939280082)
1(0.25916973512714325, 0.26129170391773276)
1(0.2245363040645188, 0.2266185067827341)
1(0.2323618310631749, 0.23441844230231973)
1(0.25026681838568743, 0.25227314376507115)
1(0.2278779363245799, 0.229854557374368)
1(0.22471753251546567, 0.22668135170099682)
1(0.2354048360191135, 0.2373466107510781)
1(0.23138464525379854, 0.2332176699784178)
1(0.2238737812946004, 0.22561577100612293)
1(0.23788438892484137, 0.23955978326505323)
1(0.22144837822360333, 0.22301178389977538)
1(0.24471472977488812, 0.24626390071099025)
1(0.2314176294922468, 0.23283549379752963)
1(0.25000104394754247, 0.25139455727681737)
1(0.284145729039432, 0.28553061298473337)
1(0.2540724355459891, 0.255444267051306)
1(0.22481283157094137, 0.22616822873804043)
1(0.23449594465413678, 0.23584847513130894)
1(0.22931698190341404, 0.23061640291696378)
1(0.2802384090439151, 0.28152350475306115)
1(0.24415770809376952, 0.24541937526382127)
1(0.22160332129744054, 0.22285304757495297)
1(0.24549963776594422, 0.2467469578708955)
1(0.23508168811986557, 0.23630870476045454)
1(0.2285730578176099, 0.22979403351688701)
1(0.26699023505802183, 0.2681791796217166)
1(0.2545458383449517, 0.25569893976398844)
1(0.24175796663093715, 0.24290499914922764)
1(0.22876719036109822, 0.22989955417634805)
1(0.2504893466718682, 0.25160518016081945)
1(0.2255160389850849, 0.2266185067827341)
1(0.2541967998913608, 0.2552689483928269)
1(0.2685072082072356, 0.26957791526370367)
1(0.24266212087288783, 0.24370001722240636)
1(0.22983344401657146, 0.23086793989084312)
1(0.23822374839879876, 0.23922131167190197)
1(0.21896777821218702, 0.2199224067125165)
1(0.24540899836107424, 0.24636285153594367)
1(0.24602104677117692, 0.24695602561513438)
1(0.2550369486800047, 0.2559714269678766)
1(0.22948015270536246, 0.23035181551267514)
1(0.23118837866662717, 0.2320304164091861)
1(0.2401662297432796, 0.2409949310393519)
1(0.2484509695566302, 0.2492751520780711)
1(0.22756523063790637, 0.22837992422421605)
1(0.22476097529560418, 0.22557545679712995)
1(0.23054499554559352, 0.2313249081265134)
1(0.25118649036901103, 0.2519308917342037)
1(0.22015882783410165, 0.22088085968178095)
1(0.2533745932170943, 0.2540911397366077)
1(0.2570828848316824, 0.25778989142846265)
1(0.23547648115921777, 0.2361785180859511)
1(0.24365422465766398, 0.244297782496803)
1(0.2759195729087116, 0.2765583588785844)
1(0.24094706887050335, 0.24158579129322816)
1(0.24458412210268343, 0.24521530445445627)
1(0.2240690232591616, 0.22469853323381656)
1(0.2511165457159531, 0.2517397212616269)
1(0.23766999614475406, 0.23829082893562195)
1(0.2539958228224664, 0.2546026354409894)
1(0.2796881693914184, 0.2802576329590714)
1(0.2669669043872365, 0.26752785594667866)
1(0.22773263090970464, 0.22824340103797117)
1(0.23033201534906975, 0.23083796030172485)
1(0.2410612814066277, 0.2415532798028972)
1(0.24104393128519722, 0.24149190575887847)
1(0.24026169334076297, 0.2406745433596919)
1(0.2294642175084672, 0.22983871492815006)
1(0.2291351013870353, 0.22945660345398455)
1(0.25050893001872365, 0.2508226068497554)
