,Avg. life dim0,Avg. life dim1,std lifedim0,std life dim1,persistent entropy dim0,persistent entropy dim1,Avg. midlife dim0,Avg. midlife dim1,std midlifedim0,std midlife dim1
alpha Motivational state 0,0.04264036781792558,0.1405799626497234,0.02133080205841907,0.0009616181437909025,0.02133080205841907,5.408648703754751,0.02132018390896279,0.0702899813248617,0.010665401029209536,0.01569916904384688
alpha Motivational state 1,0.04487917372416063,0.2014788437403807,0.022915531202696616,0.0010987842226721526,0.022915531202696616,4.994400839314961,0.022439586862080314,0.10073942187019035,0.011457765601348308,0.010396602878823108
alpha Motivational state 2,0.05050548195735796,0.19734549431486167,0.03332851955670757,0.0013205561699881202,0.03332851955670757,5.105948579680045,0.02525274097867898,0.09867274715743084,0.016664259778353785,0.014395544212892606
betta Motivational state 0,0.059333927465951716,0.1926070568510125,0.02594645048877797,0.000904408048092363,0.02594645048877797,5.562790639418517,0.029666963732975858,0.09630352842550625,0.012973225244388984,0.013584753019077933
betta Motivational state 1,0.06106663051882544,0.14642112544854735,0.02189617608103785,0.0019171589336518344,0.02189617608103785,5.952839712280568,0.03053331525941272,0.07321056272427368,0.010948088040518925,0.01600300791033948
betta Motivational state 2,0.05792358123276146,0.1454985195251508,0.027911057703210215,0.0014439464239986374,0.027911057703210215,5.906956342182305,0.02896179061638073,0.0727492597625754,0.013955528851605108,0.01244171477381329
gamma Motivational state 0,0.091279278902675,0.15165297518475926,0.037322277177070394,0.003061333856619589,0.037322277177070394,6.550703526571825,0.0456396394513375,0.07582648759237963,0.018661138588535197,0.023684775211387142
gamma Motivational state 1,0.08614803527181604,0.11958707527863936,0.025201340127318728,0.004666785250242582,0.025201340127318728,6.721331302708199,0.04307401763590802,0.05979353763931968,0.012600670063659364,0.026642873814513263
gamma Motivational state 2,0.08906913490692318,0.14456605742585224,0.022671472617412206,0.004252461777876233,0.022671472617412206,6.442401657125137,0.04453456745346159,0.07228302871292612,0.011335736308706103,0.01823877736021061
no_filter Motivational state 0,0.33388575366191925,0.6179815265146049,0.11019233319394744,0.012077391494597661,0.11019233319394744,6.371350790119312,0.16694287683095962,0.30899076325730246,0.05509616659697372,0.058758387291447146
no_filter Motivational state 1,0.3300384159626384,0.8814950097229962,0.14106096637015764,0.01704259609449439,0.14106096637015764,5.714958683695245,0.1650192079813192,0.4407475048614981,0.07053048318507882,0.050207077537245445
no_filter Motivational state 2,0.4532344507209482,0.9195429721357699,0.11033647285085267,0.014025946723903783,0.11033647285085267,6.124456729697403,0.2266172253604741,0.4597714860678849,0.055168236425426335,0.05311344048935563
