,Avg. life dim0,Avg. life dim1,std lifedim0,stdlife dim1,Avg. midlife dim0,Avg. midlife dim1,std midlifedim0,stdmidlife dim1
Motivational state 0,0.9597144527259127,0.0038642689541718545,1.390297448337086,0.0029830807230650457,0.47985722636295636,0.6688086528287421,0.695148724168543,0.24079542885121608
Motivational state 1,1.2450148281990796,0.0031299823841811113,1.2751123313843322,0.0027667100321048604,0.6225074140995398,0.8537775589354895,0.6375561656921661,0.31291037946558836
Motivational state 2,1.594973128055414,0.002055252623768674,1.103487099720741,0.0017878066642909845,0.797486564027707,1.3156312399508836,0.5517435498603706,0.39287551169775786
