,M0 dimension 0,M1 dimension 0,M2 dimension 0,M0 dimension 1,M1 dimension 1,M1 dimension 2
alpha Motivational state 0,0.0,3.7432791359323208,6.16206451623955,0.0,0.006372848609780046,0.006372848609780046
alpha Motivational state 1,3.7432791359323208,0.0,3.1548991322454167,0.006372848609780046,0.0,0.00474106594522139
alpha Motivational state 2,6.16206451623955,3.1548991322454167,0.0,0.006372848609780046,0.00474106594522139,0.0
betta Motivational state 0,0.0,10.01699523524158,14.275239484719997,0.0,0.042841239320198454,0.03712095675233407
betta Motivational state 1,10.01699523524158,0.0,6.342812723875976,0.042841239320198454,0.0,0.042841239320198454
betta Motivational state 2,14.275239484719997,6.342812723875976,0.0,0.03712095675233407,0.042841239320198454,0.0
gamma Motivational state 0,0.0,17.6683177546429,20.667008891359245,0.0,0.00683613474080258,0.008792289479541804
gamma Motivational state 1,17.6683177546429,0.0,12.983515992848425,0.00683613474080258,0.0,0.008792289479541804
gamma Motivational state 2,20.667008891359245,12.983515992848425,0.0,0.008792289479541804,0.008792289479541804,0.0
