,Avg. life dim0,Avg. life dim1,Avg. midlife dim0,Avg. midlife dim1
Motivational state 0,0.1450536601825809,0.0010049847446882577,0.07252683009129045,0.10319985575849273
Motivational state 1,0.15440045146578435,0.0014089765038762792,0.07720022573289217,0.13212488657598065
Motivational state 2,0.1554518127606118,0.002029064022431763,0.0777259063803059,0.1419014787291799
