1(0.18214715843072685, 0.21353380746954792)
1(0.09786145274893653, 0.12103738497325144)
1(0.16154635339452733, 0.1823788554193969)
1(0.10494759901912191, 0.12241155641735055)
1(0.41011761199470864, 0.4271615351747196)
1(0.18475632806393055, 0.19990264825225282)
1(0.09611205971377335, 0.11115805753899673)
1(0.1318765306464005, 0.1466818719613057)
1(0.19427068371590853, 0.2062088609357671)
1(0.17512565023732815, 0.18627149979272586)
1(0.24568032220883398, 0.25561530326901394)
1(0.1631191114785712, 0.1729154899140326)
1(0.1128262316038404, 0.12119779642099944)
1(0.2435316406831372, 0.2510583078348013)
1(0.3570646423040836, 0.3645166739835092)
1(0.2321452909338715, 0.2379478340029506)
1(0.16800589373799088, 0.17335666946894984)
1(0.13170023358456034, 0.13667712506984098)
1(0.41396385381733625, 0.41887744954144773)
1(0.1237025422357593, 0.12814843074513863)
1(0.15094195285843026, 0.15395056367814602)
1(0.4220780084180719, 0.42375107905230797)
1(0.09520626927155786, 0.09634054944953108)
1(0.10883555138350455, 0.10985263428942298)
1(0.13281692002769743, 0.13370366716375356)
1(0.17051562693712144, 0.1711991173577289)
1(0.17612277254792028, 0.1765243977446604)
1(0.10310505838152882, 0.10320208774919258)
0(0.0, inf)
0(0.0, 1.2701888492422917)
0(0.0, 1.177266669548024)
0(0.0, 0.9671257016764262)
0(0.0, 0.7054156395840051)
0(0.0, 0.6379301962725924)
0(0.0, 0.5708504535253528)
0(0.0, 0.5325039998402071)
0(0.0, 0.4534057544518043)
0(0.0, 0.443971660701941)
0(0.0, 0.4305535830997256)
0(0.0, 0.4280360035598948)
0(0.0, 0.4101020492053969)
0(0.0, 0.4097039842150928)
0(0.0, 0.4075358011850367)
0(0.0, 0.3983566163581878)
0(0.0, 0.39227542754819233)
0(0.0, 0.38368645854060374)
0(0.0, 0.3822445498474152)
0(0.0, 0.35541750909620107)
0(0.0, 0.35374395054864793)
0(0.0, 0.34153980143104)
0(0.0, 0.2995272255556618)
0(0.0, 0.29212385180918277)
0(0.0, 0.2829037853419169)
0(0.0, 0.25539763161579176)
0(0.0, 0.25279169519150313)
0(0.0, 0.24936320194913045)
0(0.0, 0.24885984563530394)
0(0.0, 0.22483136103381587)
0(0.0, 0.22131000753824545)
0(0.0, 0.21852229363853176)
0(0.0, 0.21538674562911136)
0(0.0, 0.20759696213566417)
0(0.0, 0.20074583988356506)
0(0.0, 0.19652088229831813)
0(0.0, 0.19486771534342293)
0(0.0, 0.1881349688982188)
0(0.0, 0.18809669940850438)
0(0.0, 0.18794330109144336)
0(0.0, 0.18363424832642944)
0(0.0, 0.18309511948636295)
0(0.0, 0.18291610069610284)
0(0.0, 0.18092628994301815)
0(0.0, 0.1804775733836856)
0(0.0, 0.1765993648432872)
0(0.0, 0.17510488928980444)
0(0.0, 0.17366419017476978)
0(0.0, 0.16890496395168644)
0(0.0, 0.16803350288503735)
0(0.0, 0.16777285005780002)
0(0.0, 0.16607349646515387)
0(0.0, 0.16597987510053766)
0(0.0, 0.16450560951236795)
0(0.0, 0.16278760331786793)
0(0.0, 0.1624244735237343)
0(0.0, 0.16102386968808943)
0(0.0, 0.1592127894815385)
0(0.0, 0.15900863477512517)
0(0.0, 0.15794578507815626)
0(0.0, 0.15738144390607825)
0(0.0, 0.15710832703572816)
0(0.0, 0.15668218761801792)
0(0.0, 0.1558401327966679)
0(0.0, 0.15451970658670383)
0(0.0, 0.15414564662654107)
0(0.0, 0.153961750394455)
0(0.0, 0.1533542835876642)
0(0.0, 0.15291404344262616)
0(0.0, 0.15238521043008835)
0(0.0, 0.15181188795530604)
0(0.0, 0.1504257186457738)
0(0.0, 0.14952722431288748)
0(0.0, 0.14932580906098955)
0(0.0, 0.14917201412268213)
0(0.0, 0.14812669443397955)
0(0.0, 0.14766853608391994)
0(0.0, 0.1476054790928339)
0(0.0, 0.1470418300125999)
0(0.0, 0.1465779153614767)
0(0.0, 0.14590329615783962)
0(0.0, 0.14491302675711235)
0(0.0, 0.14478923740710287)
0(0.0, 0.14472647160606314)
0(0.0, 0.14418311977909762)
0(0.0, 0.14318075838293037)
0(0.0, 0.1429758160459396)
0(0.0, 0.14282064286125143)
0(0.0, 0.1420153834448256)
0(0.0, 0.14144306395008527)
0(0.0, 0.1403838641594079)
0(0.0, 0.1395751078527656)
0(0.0, 0.1395569385312616)
0(0.0, 0.1393575122120108)
0(0.0, 0.1385922732659516)
0(0.0, 0.138158987793297)
0(0.0, 0.13754828772650063)
0(0.0, 0.13623053397886906)
0(0.0, 0.13414049062426775)
0(0.0, 0.13378159523212535)
0(0.0, 0.13355305230094153)
0(0.0, 0.13214518212459395)
0(0.0, 0.13193130505918083)
0(0.0, 0.1318000521936815)
0(0.0, 0.131223838790637)
0(0.0, 0.13054052599227345)
0(0.0, 0.13040099089662532)
0(0.0, 0.1284677099998243)
0(0.0, 0.12739084255007524)
0(0.0, 0.12677927825834245)
0(0.0, 0.12560903500671056)
0(0.0, 0.12483281098947466)
0(0.0, 0.12440644749172136)
0(0.0, 0.12287878924906857)
0(0.0, 0.12238860000252874)
0(0.0, 0.1216312054707274)
0(0.0, 0.12121031609517308)
0(0.0, 0.11284722151014669)
0(0.0, 0.11187152202328987)
0(0.0, 0.11163647053914635)
0(0.0, 0.1095017997407186)
0(0.0, 0.1058303619633747)
0(0.0, 0.10179251074552205)
0(0.0, 0.10071993467703695)
0(0.0, 0.10029099321739898)
0(0.0, 0.09869675013125523)
0(0.0, 0.09538499276517719)
0(0.0, 0.09516068369051886)
0(0.0, 0.09514749764875283)
0(0.0, 0.09400386502535436)
0(0.0, 0.09327635737523247)
0(0.0, 0.09284116099126255)
0(0.0, 0.091676272844291)
0(0.0, 0.09079529452765644)
0(0.0, 0.08883621907499958)
0(0.0, 0.08786849806943942)
0(0.0, 0.0841365115866136)
0(0.0, 0.08400943490973742)
0(0.0, 0.08276427154737068)
0(0.0, 0.0824012136679767)
0(0.0, 0.08222622284726522)
0(0.0, 0.08204632662944743)
0(0.0, 0.08131851637421543)
0(0.0, 0.0809951973623563)
0(0.0, 0.07855541650372071)
0(0.0, 0.07750196231091887)
0(0.0, 0.0750412394698809)
0(0.0, 0.07430994843148168)
0(0.0, 0.07307020413129028)
0(0.0, 0.0711689022794972)
0(0.0, 0.06860538748752927)
0(0.0, 0.0672886827915214)
0(0.0, 0.06506144002624369)
0(0.0, 0.06322608491531158)
0(0.0, 0.06056226325183394)
0(0.0, 0.05981111203140835)
0(0.0, 0.059468447123062054)
0(0.0, 0.056942976322948806)
0(0.0, 0.05472693377598646)
0(0.0, 0.0545564358391437)
0(0.0, 0.051282028020076566)
0(0.0, 0.050894097753755245)
0(0.0, 0.04787030482533497)
0(0.0, 0.04468229734554879)
0(0.0, 0.04157246961114175)
0(0.0, 0.040780516197091915)
0(0.0, 0.040470371503202304)
0(0.0, 0.04028370569569057)
0(0.0, 0.03928818092710452)
0(0.0, 0.03901275990378068)
0(0.0, 0.03859995547194064)
0(0.0, 0.03835633500655406)
0(0.0, 0.036846890598400434)
0(0.0, 0.03669790897580944)
0(0.0, 0.036633556240171686)
0(0.0, 0.03569331915046667)
0(0.0, 0.03325862923223493)
0(0.0, 0.03310306650985859)
0(0.0, 0.033025347010974586)
0(0.0, 0.03257119228580099)
0(0.0, 0.03179038545596159)
0(0.0, 0.031260266806608906)
0(0.0, 0.03114084556927172)
0(0.0, 0.03068627413162475)
0(0.0, 0.030082493466875283)
0(0.0, 0.030023703141387664)
0(0.0, 0.029659591476126488)
0(0.0, 0.029493419021420282)
0(0.0, 0.02913506806514118)
0(0.0, 0.028908579469583393)
0(0.0, 0.02831342277892042)
0(0.0, 0.02830390561357627)
0(0.0, 0.0278621931466435)
0(0.0, 0.02747550796463516)
0(0.0, 0.02745835880576178)
0(0.0, 0.026384949071913015)
0(0.0, 0.025637417761647786)
0(0.0, 0.02243629328304314)
0(0.0, 0.02102710859747526)
0(0.0, 0.01169631758315958)
