,Clean Channels,N. trials,M0,M1,M2,captured variance,N. trials w/o OL ,M0 w/o OL ,M1 w/o OL ,M2 w/o OL 
gamma1,53.0,648.0,216.0,216.0,216.0,0.9224865190969254,640.0,214.0,214.0,212.0
gamma2,53.0,648.0,216.0,216.0,216.0,0.9096612067323605,638.0,215.0,209.0,214.0
betta1,53.0,648.0,216.0,216.0,216.0,0.9643593787718026,644.0,215.0,215.0,214.0
betta2,53.0,648.0,216.0,216.0,216.0,0.9494369824788471,636.0,214.0,207.0,215.0
alpha1,53.0,648.0,216.0,216.0,216.0,0.9879148209850956,644.0,214.0,216.0,214.0
alpha2,53.0,648.0,216.0,216.0,216.0,0.97135804759923,637.0,213.0,209.0,215.0
noFilter1,53.0,648.0,216.0,216.0,216.0,0.9530931695720977,642.0,215.0,216.0,211.0
noFilter2,53.0,648.0,216.0,216.0,216.0,0.8944724687269904,638.0,212.0,212.0,214.0
