,Avg. life dim0,Avg. life dim1,std lifedim0,std life dim1,persistent entropy dim0,persistent entropy dim1,Avg. midlife dim0,Avg. midlife dim1,std midlifedim0,std midlife dim1
alpha Motivational state 0,12.275752611747064,64.52255336174372,7.158124278566747,0.37684239750914894,7.158124278566747,4.779527987655574,6.137876305873532,32.26127668087186,3.5790621392833737,7.361521392647756
alpha Motivational state 1,12.048955654322272,107.93856106997036,3.325216126076333,0.13249105984600643,3.325216126076333,3.60312054064981,6.024477827161136,53.96928053498518,1.6626080630381666,2.481943287467774
alpha Motivational state 2,12.48635913384777,62.57698589172545,6.502973808432149,0.24924766912827334,6.502973808432149,5.372858876436108,6.243179566923885,31.288492945862725,3.2514869042160743,7.120843604159408
betta Motivational state 0,17.246863700472687,675.7634777185208,8.50856333080215,0.48548806885691176,8.50856333080215,2.1846056281836175,8.623431850236344,337.8817388592604,4.254281665401075,8.829870862143975
betta Motivational state 1,16.14520183114183,3471.2183936954934,4.767492910258238,0.0,4.767492910258238,-0.0,8.072600915570915,1735.6091968477467,2.383746455129119,0.0
betta Motivational state 2,17.933208624948605,483.075807334553,8.579929148040105,0.8717471695218505,8.579929148040105,1.6442630186774494,8.966604312474303,241.5379036672765,4.289964574020052,9.131678125506944
gamma Motivational state 0,21.634005428598265,1554.042723287642,7.478482652104528,0.75138180332782,7.478482652104528,1.6138020421056027,10.817002714299132,777.021361643821,3.739241326052264,12.495996667988909
gamma Motivational state 1,21.996531434044076,429.9322053017706,6.9916580556757095,0.08788979687961695,6.9916580556757095,3.011716826153375,10.998265717022038,214.9661026508853,3.4958290278378548,0.2253999177124749
gamma Motivational state 2,21.958878812789276,728.0212898701676,6.907015710459838,0.0999894502986829,6.907015710459838,2.943840311411088,10.979439406394638,364.0106449350838,3.453507855229919,5.392237929429914
no_filter Motivational state 0,52.540248577295785,4528.969427362897,28.73761888101025,0.09244174731069224,28.73761888101025,2.1682138091661054,26.270124288647892,2264.4847136814483,14.368809440505125,0.5495313852701509
no_filter Motivational state 1,60.539047802198674,3253.9738193681787,59.91767009056731,1.3842439653936982,59.91767009056731,0.9349608391859466,30.269523901099337,1626.9869096840894,29.958835045283656,31.961549571231263
no_filter Motivational state 2,53.02854131010708,1523.6867536437433,26.751608099682713,0.5477874250897291,26.751608099682713,2.7987708749705225,26.51427065505354,761.8433768218716,13.375804049841356,55.79088606252833
