,M0 dimension 0,M1 dimension 0,M2 dimension 0,M0 dimension 1,M1 dimension 1,M1 dimension 2
alpha Motivational state 0,0.0,0.17769686023085668,0.1606163410380843,0.0,0.023197683436644523,0.09136613559967699
alpha Motivational state 1,0.17769686023085668,0.0,0.20619061166403607,0.023197683436644523,0.0,0.09136613559967699
alpha Motivational state 2,0.1606163410380843,0.20619061166403607,0.0,0.09136613559967699,0.09136613559967699,0.0
betta Motivational state 0,0.0,0.19729532571678488,0.2552236430661804,0.0,0.0745062581089766,0.05666220665432653
betta Motivational state 1,0.19729532571678488,0.0,0.2553400708426914,0.0745062581089766,0.0,0.05688897533470372
betta Motivational state 2,0.2552236430661804,0.2553400708426914,0.0,0.05666220665432653,0.05688897533470372,0.0
gamma Motivational state 0,0.0,0.19249024921948488,0.13051293554977383,0.0,0.06656663153343467,0.03665146077904102
gamma Motivational state 1,0.19249024921948488,0.0,0.23202991640102333,0.06656663153343467,0.0,0.039409761018195655
gamma Motivational state 2,0.13051293554977383,0.23202991640102333,0.0,0.03665146077904102,0.039409761018195655,0.0
no_filter Motivational state 0,0.0,0.9072418176963932,0.327986376798969,0.0,0.19845903574248958,0.15839121004844614
no_filter Motivational state 1,0.9072418176963932,0.0,0.6537324722787896,0.19845903574248958,0.0,0.09079498993994739
no_filter Motivational state 2,0.327986376798969,0.6537324722787896,0.0,0.15839121004844614,0.09079498993994739,0.0
