,Avg. life dim0,Avg. life dim1,std lifedim0,stdlife dim1,persistent entropy dim0,persistent entropy dim1,Avg. midlife dim0,Avg. midlife dim1,std midlifedim0,stdmidlife dim1
alpha Motivational state 0,8.6383359635384,0.0325573177799616,12.497012971701,0.050703467599098426,12.497012971701,3.9707352914295337,4.3191679817692,5.24857331604356,6.2485064858505,2.9467766468707017
alpha Motivational state 1,31.913014063644926,-0.16234046248893777,91.369721325498,0.16270066485448054,91.369721325498,,4.597164842644362,7.2115783545148515,6.378522945365816,6.089586860422049
alpha Motivational state 2,,,,,,,5.199619033979675,7.825170112910456,19.711396992994704,3.0409902201855963
betta Motivational state 0,12.476750295422388,0.06433221876952044,14.73886788680814,0.10399802939573449,14.73886788680814,1.6315910103281126,6.238375147711194,10.744487968335228,7.36943394340407,10.679926396872824
betta Motivational state 1,125.78743138916322,-0.25369148172618833,163.01644212828728,0.1680452328201192,163.01644212828728,,6.510803195235244,10.622721886040754,5.4860453482833424,7.402152675820148
betta Motivational state 2,,,,,,,6.615986986881447,18.323388873464992,14.645312019303972,8.192402993463311
gamma Motivational state 0,15.855243541810816,0.019572935882972597,13.566574711026385,0.006979986146442574,13.566574711026385,0.9062129518013446,7.927621770905408,5.653937242763734,6.783287355513193,0.11542692456628689
gamma Motivational state 1,3770.4067876311137,0.3595926362694562,3239.269428657727,1.4359480652266388,3239.269428657727,0.5135765580836159,8.216028854012542,9.884327905388606,5.754628319456529,4.164588614117856
gamma Motivational state 2,33.020914437764006,-0.13619240600172672,70.08340974210734,0.10781573655476427,70.08340974210734,,8.29695210784448,13.42660312361281,9.157183183615937,3.520932342687547
no_filter Motivational state 0,47.50737441114397,0.32560485187949184,66.82199721139791,0.3569761686480646,66.82199721139791,2.488395893992734,23.753687205571985,51.00863059941972,33.41099860569896,24.88412383456031
no_filter Motivational state 1,73.34258590980525,-0.27307430516862896,289.18973443906253,0.11863227815254052,289.18973443906253,,23.210663739669265,39.534181446295285,46.7224130816178,8.00146021859298
no_filter Motivational state 2,,,,,,,30.915369902707212,30.300460005082485,93.47181388749138,15.12942854843306
