,Avg. life dim0,Avg. life dim1,std lifedim0,stdlife dim1,Avg. midlife dim0,Avg. midlife dim1,std midlifedim0,stdmidlife dim1
Motivational state 0,5.649232855879937,0.04439234805698068,2.073906486683413,0.037547091296603594,2.8246164279399686,5.065863617750461,1.0369532433417066,0.4042998529028303
Motivational state 1,6.824976536918225,0.030948809946248837,1.2175874051390367,0.030728502885070914,3.4124882684591125,6.379707916254801,0.6087937025695184,0.43611139170854984
Motivational state 2,9.795655209857971,0.05262184385373266,2.3369354878149076,0.040473277288640155,4.8978276049289855,8.7143743126105,1.1684677439074538,1.8069051074621496
