,Clean Channels,N. trials,M0,M1,M2,captured variance,N. trials w/o OL ,M0 w/o OL ,M1 w/o OL ,M2 w/o OL ,Random predictions
gamma1,29.0,648.0,216.0,108.0,324.0,0.9374399005095768,626.0,216.0,108.0,302.0,0.0
gamma2,29.0,648.0,216.0,324.0,108.0,0.8737869629614681,617.0,215.0,313.0,89.0,0.0
beta1,29.0,648.0,216.0,108.0,324.0,0.8510437496207319,638.0,216.0,106.0,316.0,0.0
beta2,29.0,648.0,216.0,324.0,108.0,0.7901070974838494,615.0,190.0,321.0,104.0,0.0
alpha1,29.0,648.0,216.0,108.0,324.0,0.9545978094008775,645.0,216.0,108.0,321.0,0.0
alpha2,29.0,648.0,216.0,324.0,108.0,0.7888541926388555,620.0,189.0,323.0,108.0,5.4
noFilter1,29.0,648.0,216.0,108.0,324.0,0.9828983167004093,640.0,216.0,108.0,316.0,0.0
noFilter2,29.0,648.0,216.0,324.0,108.0,0.701521939522938,631.0,213.0,319.0,99.0,0.0
