,Clean Channels,N. trials,M0,M1,M2,captured variance,N. trials w/o OL ,M0 w/o OL ,M1 w/o OL ,M2 w/o OL ,Random predictions
gamma1,49.0,432.0,216.0,108.0,108.0,0.8976163536088033,419.0,207.0,106.0,106.0,0.0
gamma2,49.0,585.0,154.0,215.0,216.0,0.8141734248395037,569.0,145.0,215.0,209.0,0.0
beta1,49.0,432.0,216.0,108.0,108.0,0.6985011742910694,416.0,214.0,98.0,104.0,4.7
beta2,49.0,585.0,154.0,215.0,216.0,0.7109331204106485,571.0,148.0,211.0,212.0,8.4
alpha1,49.0,432.0,216.0,108.0,108.0,0.8519358737651324,414.0,214.0,98.0,102.0,23.2
alpha2,49.0,585.0,154.0,215.0,216.0,0.7460549798174829,579.0,150.0,214.0,215.0,90.0
noFilter1,49.0,432.0,216.0,108.0,108.0,0.9808396354460206,421.0,215.0,103.0,103.0,0.0
noFilter2,49.0,585.0,154.0,215.0,216.0,0.9189228347097729,568.0,146.0,212.0,210.0,0.0
