,Avg. life dim0,Avg. life dim1,std lifedim0,stdlife dim1,Avg. midlife dim0,Avg. midlife dim1,std midlifedim0,stdmidlife dim1
alpha Motivational state 0,0.026757950203844492,0.0014497280544348585,0.02523608246568459,0.0009786343587489686,0.013378975101922246,0.039557347097577085,0.012618041232842296,0.027186093150527293
alpha Motivational state 1,0.020768892036720284,0.001363718105122797,0.02431253469994927,0.0010627352239519535,0.010384446018360142,0.024388574844176177,0.012156267349974634,0.017417658256602346
alpha Motivational state 2,0.024284498059560268,0.0015938821827014419,0.02310423924448227,0.00224736251267351,0.012142249029780134,0.03992093562816386,0.011552119622241135,0.027368576481727424
betta Motivational state 0,0.030592370258560958,0.0015402757241085162,0.02655717328813163,0.0031219674483197336,0.015296185129280479,0.04442541616593031,0.013278586644065815,0.021285426766279876
betta Motivational state 1,0.025950514228706572,0.0016147953571133615,0.02377576723128725,0.0018422804460218067,0.012975257114353286,0.038440257362974684,0.011887883615643625,0.023996511147239805
betta Motivational state 2,0.027340795400688594,0.002366430857068174,0.02332445380650169,0.004126897894741534,0.013670397700344297,0.0451742552760509,0.011662226903250845,0.036817448055200507
gamma Motivational state 0,0.0437413261076301,0.0014013608693839979,0.04001757808791639,0.0023785979355343905,0.02187066305381505,0.07221209846947133,0.020008789043958194,0.07405316683661832
gamma Motivational state 1,0.04186338556591585,0.0012399639818549653,0.03921829465289547,0.0016437977273960666,0.020931692782957926,0.06280934105651513,0.019609147326447734,0.06919941675127339
gamma Motivational state 2,0.03906351357357535,0.0025768931587641713,0.036724202391335704,0.004357767263257588,0.019531756786787674,0.09671379726213238,0.018362101195667852,0.0850495593317124
no_filter Motivational state 0,0.14137487013000996,0.013914404150582779,0.10086903942596298,0.012696031724329912,0.07068743506500498,0.3896546438347168,0.05043451971298149,0.13350928825204889
no_filter Motivational state 1,0.12525240215127575,0.011298183133077835,0.0964392324035363,0.014176031947816631,0.06262620107563788,0.3157817280547355,0.04821961620176815,0.15186671004242455
no_filter Motivational state 2,0.13171641561221578,0.0166748980617795,0.09869628065846983,0.01632668043013293,0.06585820780610789,0.2685990601131162,0.049348140329234916,0.17884087853090327
