,M0 dimension 0,M1 dimension 0,M2 dimension 0,M0 dimension 1,M1 dimension 1,M1 dimension 2
alpha Motivational state 0,0.0,0.02002003558746583,0.015737607914008696,0.0,0.0021988047572485507,0.006216588110912594
alpha Motivational state 1,0.02002003558746583,0.0,0.025689319576145925,0.0021988047572485507,0.0,0.006216588110912594
alpha Motivational state 2,0.015737607914008696,0.025689319576145925,0.0,0.006216588110912594,0.006216588110912594,0.0
betta Motivational state 0,0.0,0.028670904089087706,0.027354983241995617,0.0,0.007158920177186695,0.007262658288668761
betta Motivational state 1,0.028670904089087706,0.0,0.013796209856629278,0.007158920177186695,0.0,0.00783090005458692
betta Motivational state 2,0.027354983241995617,0.013796209856629278,0.0,0.007262658288668761,0.00783090005458692,0.0
gamma Motivational state 0,0.0,0.04438476402941756,0.05811794242520084,0.0,0.005989225940826071,0.007330253654485391
gamma Motivational state 1,0.04438476402941756,0.0,0.03209286940938158,0.005989225940826071,0.0,0.008106250083006583
gamma Motivational state 2,0.05811794242520084,0.03209286940938158,0.0,0.007330253654485391,0.008106250083006583,0.0
no_filter Motivational state 0,0.0,0.14294071736451014,0.10294391696579175,0.0,0.031548031447621416,0.019930213642519234
no_filter Motivational state 1,0.14294071736451014,0.0,0.06835478589342261,0.031548031447621416,0.0,0.02634630320414616
no_filter Motivational state 2,0.10294391696579175,0.06835478589342261,0.0,0.019930213642519234,0.02634630320414616,0.0
