,Avg. life dim0,Avg. life dim1,std lifelife dim0,stdlife dim1,Avg. midlife dim0,Avg. midlife dim1,std midlifelife dim0,stdmidlife dim1
Motivational state 0,0.15295932484680802,0.002594096392941852,0.309897744017229,0.009729746462051155,0.07647966242340401,0.1214612729577118,0.1549488720086145,0.08270830559864993
Motivational state 1,0.17707142511972576,0.002544201074466195,0.32639798681588134,0.007008252093989614,0.08853571255986288,0.13854638826412996,0.16319899340794067,0.0767937301198109
Motivational state 2,0.20581860211223435,0.003289575303918903,0.16187024382304666,0.005152671185337219,0.10290930105611718,0.19987061691963653,0.08093512191152333,0.09834899150659578
