,Clean Channels,N. trials,M0,M1,M2,captured variance,N. trials w/o OL ,M0 w/o OL ,M1 w/o OL ,M2 w/o OL ,Random predictions
gamma1,42.0,648.0,216.0,324.0,108.0,0.8785897760159174,632.0,209.0,318.0,105.0,0.0
gamma2,42.0,648.0,216.0,108.0,324.0,0.8055693304342363,629.0,206.0,108.0,315.0,0.0
beta1,42.0,648.0,216.0,324.0,108.0,0.850917632218934,635.0,214.0,317.0,104.0,0.0
beta2,42.0,648.0,216.0,108.0,324.0,0.8471324499637289,636.0,209.0,108.0,319.0,0.0
alpha1,42.0,648.0,216.0,324.0,108.0,0.8898206516631696,637.0,213.0,319.0,105.0,0.0
alpha2,42.0,648.0,216.0,108.0,324.0,0.917451451211688,638.0,209.0,108.0,321.0,5.3
noFilter1,42.0,648.0,216.0,324.0,108.0,0.9713291791732737,645.0,216.0,321.0,108.0,0.0
noFilter2,42.0,648.0,216.0,108.0,324.0,0.8128714231647867,637.0,209.0,107.0,321.0,0.0
