,Avg. life dim0,Avg. life dim1,Avg. midlife dim0,Avg. midlife dim1
Motivational state 0,0.3099092240358976,0.004919891689001751,0.1549546120179488,0.2785739341266356
Motivational state 1,0.35356070441113524,0.007134395031281378,0.17678035220556762,0.3333936730679879
Motivational state 2,0.35482296563521765,0.007292320551274838,0.17741148281760882,0.33060457530981924
