,M0 dimension 0,M1 dimension 0,M2 dimension 0,M0 dimension 1,M1 dimension 1,M1 dimension 2
alpha Motivational state 0,0.0,0.041930548575919074,0.04716289551545666,0.0,0.00796433193868784,0.01302433799709718
alpha Motivational state 1,0.041930548575919074,0.0,0.034431710038600655,0.00796433193868784,0.0,0.01302433799709718
alpha Motivational state 2,0.04716289551545666,0.034431710038600655,0.0,0.01302433799709718,0.01302433799709718,0.0
betta Motivational state 0,0.0,0.029140256986592464,0.06789334427270477,0.0,0.012473833217620578,0.020155891334839554
betta Motivational state 1,0.029140256986592464,0.0,0.06201203105750608,0.012473833217620578,0.0,0.01623990882504797
betta Motivational state 2,0.06789334427270477,0.06201203105750608,0.0,0.020155891334839554,0.01623990882504797,0.0
gamma Motivational state 0,0.0,0.044340406397822274,0.05552847816626122,0.0,0.00961802765670583,0.00961802765670583
gamma Motivational state 1,0.044340406397822274,0.0,0.05620074489503617,0.00961802765670583,0.0,0.0070830036207272795
gamma Motivational state 2,0.05552847816626122,0.05620074489503617,0.0,0.00961802765670583,0.0070830036207272795,0.0
no_filter Motivational state 0,0.0,0.37438793198774234,0.1128084098751505,0.0,0.046085454233262324,0.03749447442076376
no_filter Motivational state 1,0.37438793198774234,0.0,0.4002724373845643,0.046085454233262324,0.0,0.046085454233262324
no_filter Motivational state 2,0.1128084098751505,0.4002724373845643,0.0,0.03749447442076376,0.046085454233262324,0.0
