,M0 dimension 0,M1 dimension 0,M2 dimension 0,M0 dimension 1,M1 dimension 1,M1 dimension 2
alpha Motivational state 0,0.0,0.009449127739582168,0.026031882606685965,0.0,0.0008816359113151505,0.0011188677424543263
alpha Motivational state 1,0.009449127739582168,0.0,0.031082028871586696,0.0008816359113151505,0.0,0.0011188677424543263
alpha Motivational state 2,0.026031882606685965,0.031082028871586696,0.0,0.0011188677424543263,0.0011188677424543263,0.0
betta Motivational state 0,0.0,0.010464602352367531,0.023790813886529177,0.0,0.0009686078292646255,0.0011022068902535737
betta Motivational state 1,0.010464602352367531,0.0,0.027729330728015915,0.0009686078292646255,0.0,0.0011534229450100783
betta Motivational state 2,0.023790813886529177,0.027729330728015915,0.0,0.0011022068902535737,0.0011534229450100783,0.0
gamma Motivational state 0,0.0,0.014525784926135064,0.03271353484832365,0.0,0.003558196753827063,0.003732748522743773
gamma Motivational state 1,0.014525784926135064,0.0,0.03789708573448383,0.003558196753827063,0.0,0.003558196753827063
gamma Motivational state 2,0.03271353484832365,0.03789708573448383,0.0,0.003732748522743773,0.003558196753827063,0.0
no_filter Motivational state 0,0.0,0.056053958598011225,0.1720433116220994,0.0,0.005672514699641321,0.010632122265380184
no_filter Motivational state 1,0.056053958598011225,0.0,0.19138056717957946,0.005672514699641321,0.0,0.010632122265380184
no_filter Motivational state 2,0.1720433116220994,0.19138056717957946,0.0,0.010632122265380184,0.010632122265380184,0.0
